KEYTERMS,WEIGHT
professor,2.0
university,1.8993065
assistant,1.5656417
examines,1.49932042
school,1.45822608
strategy,1.43890986
columbia,1.42781734
cultural,1.36593172
california,1.36311245
business,1.35660908
associate,1.33679226
market,1.30165592
foundation,1.2899505
chapel,1.28445077
focus,1.27881777
organizational,1.27596906
stanford,1.2589798
policy,1.2562839
profession,1.24097006
dynamic,1.23952177
carolina,1.23939931
current,1.23818949
north,1.23758115
outcome,1.23726115
firm,1.22971208
