KEYTERMS,WEIGHT
lpar,2.0
rpar,1.9829077
ast,1.64340967
nbsp,1.14991362
mldr,1.14983721
founding,1.14770809
community,1.10991991
organization,1.08835449
cooperative,1.05894563
mutuals,1.050567914
insurance,1.04520815
mutual,1.04178511
saving,1.039255198
variable,1.037200127
commune,1.035102952
model,1.034976553
collective,1.03412974
legacy,1.03334808
emsp,1.032815002
nonprofit,1.03224918
bank,1.031822897
insurer,1.03063448
emigration,1.028882444
organizational,1.027153475
institutional,1.027105635
