id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2094382	10.2307/2094382	On Van Den Berghe's Theory of Aggression	Vivian S. Hixson, J. P. Scott	American Sociological Review	41	1	1976-02-01T00:00:00Z	pp. 169-170	American Sociological Association	fla			
10.2307/2095234	10.2307/2095234	Inequality and the Service Sector in Less Developed Countries: A Reanalysis and Respecification	Robert Fiala	American Sociological Review	48	3	1983-06-01T00:00:00Z	pp. 421-428	American Sociological Association	fla		This paper empirically reassesses Evans and Timberlake's (1980) argument that growth of the service sector in less developed countries is an important factor mediating the effect of economic dependence on inequality. Analysis of their argument using service sector data defining the tertiary more narrowly than their data fails to provide confirmation. Respecification of their analysis to fit an alternate interpretation of their theoretical argument also fails to find the service sector playing a role in generating inequality, and even indicates it may reduce inequality. However, portions of their argument are used to suggest that inequality may play a role in increasing service sector size in less developed countries. This idea is examined using panel regression techniques, and receives empirical confirmation.	
10.2307/2094797	10.2307/2094797	Selection and Allocation Within Schools: Some Causes and Consequences of Curriculum Placement	Karl L. Alexander, Edward L. McDill	American Sociological Review	41	6	1976-12-01T00:00:00Z	pp. 963-980	American Sociological Association	fla		A multivariate "school process" model is evaluated to explore the antecedents and consequences of curriculum enrollment. Selected characteristics of peer associates, measures of academic achievement and three subjective outcome variables--educational plans, self-conceptions of academic competence and intellectual orientations--are considered. The analysis, based on questionnaire and testing data for a sample of high school seniors, identifies academic ability and status origins as important determinants of curriculum placement. Curriculum enrollment and other school process variables, including characteristics of peer associates and academic performance, contribute uniquely to the explanation of subjective orientations and serve as important mediators of background influnce. Evidence is provided for the substantial importance of curriculum enrollment for both cognitive an noncognitive outcomes of schooling, as well as, by implication, for retention in school.	
10.2307/2095255	10.2307/2095255	Erratum: "Firearms Ownership for Sport and Protection"		American Sociological Review	46	4	1981-08-01T00:00:00Z	p. iv	American Sociological Association	fla			
10.2307/2095530	10.2307/2095530	Family Origins and the Schooling Process: Early Versus Late Influence of Parental Characteristics	Duane F. Alwin, Arland Thornton	American Sociological Review	49	6	1984-12-01T00:00:00Z	pp. 784-802	American Sociological Association	fla		This paper explores the potential role of family socioeconomic factors in school achievement outcomes at two separate periods in the lifecourse-early in childhood and during late adolescence. Using data from an 18-year longitudinal study of families and their children which provides measures of parental socioeconomic characteristics across this entire period, we examine several issues related to the influence of early and late family factors on achievement outcomes assessed during the period of the completion of secondary schooling. We examine the extent to which differing conclusions are reached through the use of parental socioeconomic variables assessed during these two periods, and we explore the question of the relative impact of these two sets of influences. Our results indicate that, in part due to the intertemporal consistency of some socioeconomic variables, most relationships are quite similar using either the early or later variables. While these patterns make it very difficult in some instances to ascertain the relative effects of early and late socioeconomic factors, our analytic results point to a potentially stronger role of early socioeconomic factors in cognitive development and school learning. In a single instance-the case of family size-we find independent effects on school achievement from both early and late socioeconomic experiences.	
10.2307/2094627	10.2307/2094627	The Effect of Direct Government Involvement in the Economy on the Degree of Income Inequality: A Cross-National Study	Steven Stack	American Sociological Review	43	6	1978-12-01T00:00:00Z	pp. 880-888	American Sociological Association	fla		Sociological theories of income inequality have neglected a Keynesian approach to the problem. This paper tests the Keynesian notion that the degree of direct government involvement in the economy should reduce income inequality through such means as full employment and the facilitation of economic growth. A regression analysis of data from 32 nations indicates that the degree of direct government involvement in the economy is the single most important factor associated with low income inequality. This relationship is independent of both the level of economic development and the rate of economic growth.	
10.2307/2095423	10.2307/2095423	Occupational and Labor Market Effects on Secondary and Postsecondary Educational Expansion in the United States: 1922 to 1979	Pamela Barnhouse Walters	American Sociological Review	49	5	1984-10-01T00:00:00Z	pp. 659-671	American Sociological Association	fla		School enrollments in the United States have grown rapidly in this century, yet we have few convincing explanations of this phenomenon. In this paper, attempts are made to relate the rate of growth of public secondary and tertiary school enrollments to changes in occupational opportunities. Models of public secondary expansion are estimated for two periods, 1922 to 1951 and 1952 to 1979, but models of tertiary enrollment expansion could be estimated only for the later period. The findings suggest, in part, that students use schooling as a means of preparation for anticipated future occupations. Additionally, however, enrollments were affected by the current demand for the labor of school-age workers, suggesting that schools may "warehouse" otherwise unoccupied individuals, but only during periods in which the level of schooling in question was discretionary. This dynamic has little to do with the utility of schooling as a means of preparation for adult occupational roles.	
10.2307/2094954	10.2307/2094954	On the Use and Abuse of Aggregate Data in Analyzing Organizations	Marshall W. Meyer, William B. Stevenson	American Sociological Review	46	5	1981-10-01T00:00:00Z	pp. 697-699	American Sociological Association	fla			
10.2307/2095218	10.2307/2095218	Female Employment and Fertility in the Dominican Republic: A Dynamic Perspective	Douglas T. Gurak, Mary M. Kritz	American Sociological Review	47	6	1982-12-01T00:00:00Z	pp. 810-818	American Sociological Association	fla		Using a sequential-events model, the relationship between female employment and fertility during a five-year interval in the 1970s is analyzed among married women in urban areas of the Dominican Republic. Although significant proportions of the variance of all interval events are explained, no relationship is observed between proximate employment and fertility. Some evidence, however, of an inverse long-term relationship is provided. Unlike findings in the United States and other countries, incompatibility between the roles of market and household worker appear minimal in the Dominican Republic. Evidence of significant recent changes in nuptiality among younger women suggests that changing employment conditions may have a stronger direct effect on fertility at an earlier stage of the life cycle.	
10.2307/2094967	10.2307/2094967	Relations Between Individual Life Cycles and Population Characteristics	Samuel H. Preston	American Sociological Review	47	2	1982-04-01T00:00:00Z	pp. 253-264	American Sociological Association	fla		Simple relations between life cycle and population measures are developed by reference to steady-state models in which age schedules of fertility, mortality, and attributes are fixed. Comparison among steady-state models having different mortality and fertility conditions permits a demonstration of the differential influence of demographic conditions on populations and life cycles. In general, fertility differences affect populations but not life cycles, whereas mortality differences affect life cycles but not (to an important extent) populations. The size of effects is shown to depend upon differences between the mean age of the stationary population and the mean age of persons with the attribute in the stationary population. The most interesting class of models pertains to situations in which population characteristics are constrained and force alterations in life cycles in response to demographic change.	
10.2307/2117735	10.2307/2117735	Work Values and Job Rewards: A Theory of Job Satisfaction	Arne L. Kalleberg	American Sociological Review	42	1	1977-02-01T00:00:00Z	pp. 124-143	American Sociological Association	fla		This paper attempts to develop a theory of job satisfaction which incorporates differences in work values and perceived job characteristics as key explanatory variables. It empirically examines the relationship between job satisfaction and the work values and job rewards associated with six dimensions of work--intrinsic, convenience, financial, relations with co-workers, career opportunities and resource adequacy. It is found that work values have independent effects on job satisfaction. The extent to which workers are able to obtain perceived job rewards is conceptualized to be a function of their degree of control over their employment situations. The paper also seeks to develop a framework which links the variation in the job satisfactions of workers to the factors that influence the degree of their control over the attainment of job rewards in American society. The analyses in this paper are based on data from the 1972-73 Quality of Employment Survey.	
10.2307/2094260	10.2307/2094260	Reply to Kohn	James D. Wright, Sonia R. Wright	American Sociological Review	41	3	1976-06-01T00:00:00Z	pp. 545-548	American Sociological Association	fla			
10.2307/2095573	10.2307/2095573	Work Commitment, Sex-Role Attitudes, and Women's Employment	Denise Del Vento Bielby, William T. Bielby	American Sociological Review	49	2	1984-04-01T00:00:00Z	pp. 234-247	American Sociological Association	fla		This article integrates the concept of work commitment-the centrality of the work role as a source of intrinsic satisfaction-into the study of sex-role attitudes and women's employment. Limitations of previous attempts to operationalize work commitment are reviewed and a measurement model approach based on multiple indicators of a construct that is not directly observable is presented. Five hypotheses are derived and tested with a statistical model of the relationship between work commitment, early socialization, school experiences, family roles, and employment behavior. Applying the model to longitudinal data on female college graduates shows work commitment to be both stable over time and empirically distinct from sex-role attitudes. In this population, intermittency of employment was not a consequence of unstable work commitments, and subjective investments in the work role remained stable at the same time these women adjusted their employment behavior to accommodate the demands of child rearing. These findings suggest the viability of studying work commitment in more recent cohorts and in other populations.	
10.2307/2095554	10.2307/2095554	Gender and Parenthood	Alice S. Rossi	American Sociological Review	49	1	1984-02-01T00:00:00Z	pp. 1-19	American Sociological Association	fla		This paper reviews demographic trends in longevity and the sex ratio, marriage and fertility, and household composition for the illumination they provide to an understanding of parenting in individual lives and to the social ambiance surrounding childbearing and -rearing in contemporary society. Second, the paper reviews gender differences in parenting as reflected in recent research on solo fathering and mothering, nontraditional family arrangements, and egalitarian marriages that show significant paternal involvement in childrearing. Third, the paper assesses the adequacy of current social explanations of gender differences in parenting, and demonstrates the relevance of an expanded explanatory model that draws upon bio-evolutionary theory and the neurosciences.	
10.2307/2095260	10.2307/2095260	Social Resources and Strength of Ties: Structural Factors in Occupational Status Attainment	Nan Lin, Walter M. Ensel, John C. Vaughn	American Sociological Review	46	4	1981-08-01T00:00:00Z	pp. 393-405	American Sociological Association	fla		For a class of social actions such as seeking a job, the socioeconomic standings of the contact (social resources) an individual uses will probably be very important in achieving a desired result. Drawing upon data from a sample of working males aged 21-64 in the metropolitan area of Albany-Troy-Schenectady, New York, we found that the job seeker's personal resources (initially his family background, but more importantly later his educational and occupational achievements) as well as his use of weak ties affect his ability to reach a contact of high status. The contact's status, in turn, has a strong and direct effect on the prestige of the attained job. As job experience increases, a person relies more on constructed rather than ascribed relations and the strong tie between his contact and the hiring firm becomes increasingly important.	
10.2307/2094913	10.2307/2094913	Suburban Status Instability	Harvey M. Choldin, Claudine Hanson, Robert Bohrer	American Sociological Review	45	6	1980-12-01T00:00:00Z	pp. 972-983	American Sociological Association	fla		Contrary to conventional urban theory, recent studies have found "suburban persistence" in social status, over time. This concept is challenged here, in an examination of change in relative status of places. Three simple indexes of relative status are introduced and analyzed over time in a cohort analysis. It is shown that status typically rises for about two decades after a suburb is built and then it declines. Thus, like city areas, suburbs follow the neighborhood life cycle. Earlier studies which found suburban persistence are criticized for using panel designs in combination with correlational statistics, which were unable to detect the kind of change occurring in metropolitan areas.	
10.2307/2095127	10.2307/2095127	Truth Tests and Utility Tests: Decision-Makers' Frames of Reference for Social Science Research	Carol H. Weiss, Michael J. Bucuvalas	American Sociological Review	45	2	1980-04-01T00:00:00Z	pp. 302-313	American Sociological Association	fla		In an effort to contribute to an empirically based "sociology of knowledge application," this paper explores the frames of reference that decision-makers employ in assessing the usefulness of social science research for their work. Analysis of responses of 155 decision-makers in mental health fields to 50 actual research reports reveals five frames of reference: relevance of research topic, research quality, conformity of results with expectations, orientation to action, and challenge to existing policy. All frames are positively associated with perceived likelihood of using a study. Two significant interactions among the frames suggest that, in essence, decision-makers apply a "truth test" and a "utility test" in screening social science research. They judge truth on two bases: research quality and/or conformity with prior knowledge and expectations. They also assess utility on alternaive bases: feasible direction for action and/or challenge to current policy. The ways in which they apply research conclusions to their work is a broader, more diffuse, and wider-ranging process than many earlier investigators have recognized.	
10.2307/2094488	10.2307/2094488	Erratum: "Career Attributes and Network Structure: A Blockmodel Study of a Biomedical Research Speciality"		American Sociological Review	41	2	1976-04-01T00:00:00Z	p. 392	American Sociological Association	fla			
10.2307/2094481	10.2307/2094481	Reply to Guest	William M. Mason, James S. House	American Sociological Review	41	2	1976-04-01T00:00:00Z	pp. 367-376	American Sociological Association	fla			
10.2307/2094630	10.2307/2094630	Marxist and "Organizational" Approaches to Delinquency and the Sociology of Law: Crucial Problems in "Testing" the Perspectives	Pat Lauderdale, Gerald Larson	American Sociological Review	43	6	1978-12-01T00:00:00Z	pp. 922-925	American Sociological Association	fla			
10.2307/2095529	10.2307/2095529	Organization, Rationality and Spontaneity in the Civil Rights Movement	Lewis M. Killian	American Sociological Review	49	6	1984-12-01T00:00:00Z	pp. 770-783	American Sociological Association	fla		So-called "classical collective-behavior theorists" have been charged with placing too much emphasis on spontaneity and the emergence of new norms and structures in social movements. Empirical support for this charge and material for constructing an alternate model have been offered in recent revisionist studies of the Civil Rights Movement. This alternate model emphasizes the importance of deliberate planning and pre-existing social structures in the development and growth of bus boycotts and sit-ins between 1955 and 1965. Reexamination of the Civil Rights Movement in Tallahassee, Florida, shows it to be a case which does not fit the alternate model in important respects. It is concluded that while organization and planning are key variables, social movement theory must take into account spontaneity and emergence, and the transformation of pre-existing structures.	
10.2307/2094208	10.2307/2094208	Reply to Susmilch, Elliott and Schwartz	Alan C. Acock	American Sociological Review	40	5	1975-10-01T00:00:00Z	pp. 687-690	American Sociological Association	fla			
10.2307/2095014	10.2307/2095014	How Jews Avoid Alcohol Problems	Barry Glassner, Bruce Berg	American Sociological Review	45	4	1980-08-01T00:00:00Z	pp. 647-664	American Sociological Association	fla		Twenty-five years have passed since the last major study of Jewish drinking patterns. During that time Jews have drifted away from the Orthodox religious affiliations which the earlier studies (Snyder, 1958; 1978) found to be important in maintaining low alcohol problem rates, and yet these rates remain low. Data from a detailed study of Jews in an American community suggest a revised explanation that focuses upon four protective social processes: (1) association of alcohol abuse with non-Jews; (2) integration of moderate drinking norms, practices and symbolism during childhood by means of religious and secular ritual; (3) restriction of most adult primary relationships to other moderate drinkers; and (4) a repertoire of techniques to avoid excess drinking under social pressure. The results are discussed from the perspective of informal social controls.	
10.2307/2094840	10.2307/2094840	Further Considerations on the Methodological Analysis of Segregation Indices	Charles F. Cortese, R. Frank Falk, Jack K. Cohen	American Sociological Review	41	4	1976-08-01T00:00:00Z	pp. 630-637	American Sociological Association	fla		The process of developing an adequate measure of segregation occupied the literature for over a decade and culminated in the widespread use of the Index of Dissimilarity. The inadequacies of this index, although identified by the Duncans (1955), remain with us and largely have come to be ignored. This research further explores the difficulties pertaining to limitations in the use and interpretation of the Index of Dissimilarity, demonstrates some of the systematic biases resulting from these inadequacies and provides a mathematical refinement which overcomes some of the major problems inherent in the use of this index.	
10.2307/2094746	10.2307/2094746	The Sociology of Women's Economic Role in the Family	Valerie Kincade Oppenheimer	American Sociological Review	42	3	1977-06-01T00:00:00Z	pp. 387-406	American Sociological Association	fla		This paper examines Parsons' argument that wives' socioeconomic contributions to their families are, of necessity, minor in our society and that to the extent a wife does work, family stability requires that it be at a lower occupational level than her husband's. A reassessment of the theoretical considerations involved indicates that Parsons' preoccupation with the potentiality for status competition and conflict between working spouses has led to a distorted view of the problem of status consistency within the family. The argument presented here is that, if the wife is to work, it is important that her occupation reflect favorably on the family's socioeconomic position and this need for status maintenance, if not improvement, offsets the presumed need for her occupation not to be status threatening. In addition, it is suggested that Parsons overestimated the amount of disruptive competition which would necessarily occur if both the husband and wife worked. Some empirical evidence is presented to support this alternative view of women's socioeconomic role in the family.	
10.2307/2094491	10.2307/2094491	The Causes and Cost of Racial Exclusion from Job Authority	James R. Kluegel	American Sociological Review	43	3	1978-06-01T00:00:00Z	pp. 285-301	American Sociological Association	fla		Recent studies have shown an improvement in the socioeconomic circumstances of black Americans. Yet a substantial difference remains, raising the question of what accounts for this difference. In this paper we examine the role of job authority (position in the authority hierarchies of organizations) as a source of this persistent discrepancy. Based on the comparison of samples of white (n = 1,088) and black men (n = 625) we find that: (1) the average job authority of black men is markedly lower than that of white men; (2) this discrepancy has its source in a number of factors including organizational characteristics, education, occupational position, and direct within-occupation exclusion from authority; (3) black men receive a lower income return to authority than do whites, with the discrepancy in income return being especially pronounced at higher occupational status levels; and (4) the exclusion from authority is costly; on the average across occupations it accounts for approximately one-third of the total black-white income gap.	
10.2307/2117722	10.2307/2117722	The Impact of Mass Media Violence on U.S. Homicides	David P. Phillips	American Sociological Review	48	4	1983-08-01T00:00:00Z	pp. 560-568	American Sociological Association	fla		The impact of mass media violence on aggression has almost always been studied in the laboratory; this paper examines the effect of mass media violence in the real world. The paper presents the first systematic evidence indicating that a type of mass media violence triggers a brief, sharp increase in U.S. homicides. Immediately after heavyweight championship prize fights, 1973-1978, U.S. homicides increased by 12.46 percent. The increase is greatest after heavily publicized prize fights. The findings persist after one corrects for secular trends, seasonal, and other extraneous variables. Four alternative explanations for the findings are tested. The evidence suggests that heavyweight prize fights stimulate fatal, aggressive behavior in some Americans.	
10.2307/2095137	10.2307/2095137	Does Microeconomic Theory Need a Defense?	Karen S. Cook, Mary R. Gillmore, Toshio Yamagishi	American Sociological Review	45	2	1980-04-01T00:00:00Z	pp. 351-353	American Sociological Association	fla			
10.2307/2094486	10.2307/2094486	Erratum: "Social Structure and Psychological Antecedents of Self-Estrangement and Powerlessness"		American Sociological Review	41	2	1976-04-01T00:00:00Z	p. 391	American Sociological Association	fla			
10.2307/2095536	10.2307/2095536	"Frameworks" and Frameworks: Reply to Slomczynski and Krauze	Michael E. Sobel	American Sociological Review	49	6	1984-12-01T00:00:00Z	pp. 852-853	American Sociological Association	fla			
10.2307/2095093	10.2307/2095093	Issues in Instrumental Variables Analysis	Karl L. Alexander, Thomas W. Reilly, James Fennessey	American Sociological Review	46	6	1981-12-01T00:00:00Z	pp. 937-941	American Sociological Association	fla			
10.2307/2095330	10.2307/2095330	Marriage and Women's Occupational Attainment in Cross-Cultural Perspective	Patricia A. Roos	American Sociological Review	48	6	1983-12-01T00:00:00Z	pp. 852-864	American Sociological Association	fla		Employing data from 12 industrial societies, the present paper investigates differences in the labor force behavior, occupational distribution, and attainment patterns of ever and never married women. The analysis tests one explanation for occupational sex segregation-dual career theory, which attributes women's concentration in low-paying employment to gender differences in marital and childrearing responsibilities. The results for the twelve countries offer some support for the assertion that never married women are more similar to men than ever married women, but not in all respects related to their occupational behavior. Although marital responsibilities affect the extent to which women work and the kinds of jobs in which they are employed, these differences for the most part do not translate into differences in occupational prestige or wage rate. Thus, women's economic disadvantage, relative to men, cannot be attributed solely, or even in large measure, to gender differences in marital responsibilities. Never married women, who have no immediate marital responsibilities, do not fare much better than married women in their occupational attainment.	
10.2307/2095251	10.2307/2095251	Sociobiology and Paradigms in Evolutionary Theory	Robert Bolin, Susan Bolton Bolin	American Sociological Review	45	1	1980-02-01T00:00:00Z	pp. 154-159	American Sociological Association	fla			
10.2307/2095280	10.2307/2095280	The Transition to Motherhood: The Intersection of Structural and Temporal Dimensions	Ronald R. Rindfuss, S. Philip Morgan, C. Gray Swicegood	American Sociological Review	49	3	1984-06-01T00:00:00Z	pp. 359-372	American Sociological Association	fla		Prior work on the determinants of the first-birth process can be divided into three approaches: (1) time-series analysis focusing on description and determinants of trends; (2) cross-sectional studies examining childlessness or adolescent fertility; and (3) life-course studies dealing with the timing of fertility relative to other events. Drawing on these traditions, our conceptual framework places the first-birth process within, respectively, an aggregate-time dimension indicated by period or cohort, an individual-time dimension indicated by the respondent's age, and a social-structural dimension indicated by the respondent's ascribed and achieved characteristics. By pooling six fertility surveys spanning the 1955-1976 period, and examining conditional birth probabilities, our analysis incorporates each of these dimensions. Each dimension is important. Aggregate time exerts powerful and pervasive effects. Socio-structural variables have nonproportional effects-that is, their effects vary with individual time. The effects of the social-structural variables tend not to interact with the aggregate-time dimension. Finally, predictive power generally declines with individual time.	
10.2307/2094914	10.2307/2094914	Generating Newsworthiness: The Interpretive Construction of Public Events	Marilyn Lester	American Sociological Review	45	6	1980-12-01T00:00:00Z	pp. 984-994	American Sociological Association	fla		Everyday life is not organized a priori as discrete public events which can be simply mirrored by newsworkers. It does not differentiate itself into newsworthy events for reporting and publication. News is a product of reality-making activities and not simply reality-describing ones. A critical sociological task is to examine newsworkers' transformations of the everyday world into published or broadcasted events-as-stories (Molotch and Lester, 1974; Tuchman, 1972; 1973a; 1973b; 1976; Glascow University News Group, 1972; Cohen, 1972; Cohen and Young, 1973). This paper details one core aspect of this process, the routines newsworkers use to identify and display the newsworthy character of occurrences and events. Historically, newsworthiness has been viewed as a property of events in an external social order. Relying on primary and secondary data collected in several news organizations, an alternative conceptualization, consistent with basic tenets of ethnomethodology, is provided in this paper. Here, newsworthiness is an actively generated feature of events.	
10.2307/2094575	10.2307/2094575	Numbers Gambling Among Blacks: A Financial Institution	Ivan Light	American Sociological Review	42	6	1977-12-01T00:00:00Z	pp. 892-904	American Sociological Association	fla		Mainstream financial institutions have never been able to provide generally prevailing service levels in poor communities. In the resulting partial-service vacuum, blacks invented numbers gambling. Numbers-gambling banks became sources of capital and a major savings device of urban black communities. In conjunction with the usury industry, numbers banks framed an alternative institutional system for the savings-investment cycle in the slum. Numbers banking illustrates the conjoint contribution of institutional and cultural causes in analysis of poverty.	
10.2307/2094870	10.2307/2094870	Cross-Sectionalism: Mismatching Theory and Model	Patrick H. Irwin	American Sociological Review	42	5	1977-10-01T00:00:00Z	pp. 814-817	American Sociological Association	fla			
10.2307/2094378	10.2307/2094378	School District Effects on Academic Achievement: A Reconsideration	Karl L. Alexander, Larry J. Griffin	American Sociological Review	41	1	1976-02-01T00:00:00Z	pp. 144-152	American Sociological Association	fla			
10.2307/2094827	10.2307/2094827	Reply to Stack	Christopher Hewitt	American Sociological Review	44	1	1979-02-01T00:00:00Z	pp. 171-172	American Sociological Association	fla			
10.2307/2094604	10.2307/2094604	Insurgency of the Powerless: Farm Worker Movements (1946-1972)	J. Craig Jenkins, Charles Perrow	American Sociological Review	42	2	1977-04-01T00:00:00Z	pp. 249-268	American Sociological Association	fla		Drawing on the perspective developed in recent work by Oberschall (1973), Tilly (1975) and Gamson (1975), we analyze the political process centered around farm worker insurgencies. Comparing the experience of two challenges, we argue that the factors favored in the classical social movement literature fail to account for either the rise or outcome of insurgency. Instead, the important variables pertain to social resources-in our case, sponsorship by established organizations. Farm workers themselves are powerless; as an excluded group, their demands tend to be systematically ignored. But powerlessness may be overridden if the national political elite is neutralized and members of the polity contribute resources and attack insurgent targets. To test the argument, entries in the New York Times Annual Index are content coded and statistically analyzed, demonstrating how the political environment surrounding insurgent efforts alternatively contains them or makes them successful.	
10.2307/2094184	10.2307/2094184	Reply to Faia	Paul D. Allison, John A. Stewart	American Sociological Review	40	6	1975-12-01T00:00:00Z	pp. 829-831	American Sociological Association	fla			
10.2307/2094778	10.2307/2094778	Nonrecursive Models of Labor Force Participation, Fertility Behavior and Sex Role Attitudes	Lynn Smith-Lovin, Ann R. Tickamyer	American Sociological Review	43	4	1978-08-01T00:00:00Z	pp. 541-557	American Sociological Association	fla		Studies of female labor force participation and fertility have established a negative relationship between the two; however, there has been much debate over the direction and causes of this relationship. In this paper, two causal models of the actual fertility and work behavior of a national sample of married women, aged 30 in 1970, are examined using the two-stage least-squares technique to disentangle reciprocal effects. Included are a two-variable feedback loop incorporating only fertility and labor force participation and a three-variable model which adds sex role attitudes to the endogenous variables. Most of the work-fertility relationship can be accounted for by controlling background variables such as education and marital duration. A negative effect from fertility to labor force participation remains, however. Adding sex role attitudes to the model as a potential source and consequence of fertility and work behavior slightly reduces the size of this effect.	
