WORDCOUNTS,WEIGHT
the,606
of,506
a,287
in,280
exchange,259
and,257
to,251
is,221
that,203
are,139
for,135
as,120
on,100
kinship,92
s,90
social,86
by,82
not,78
this,76
an,71
with,71
from,71
system,70
generalized,69
structure,65
groote,60
it,58
eylandt,58
be,58
i,55
they,54
section,53
systems,53
marriage,52
women,49
their,49
one,46
or,45
model,45
which,42
relations,41
all,39
but,37
norms,37
was,36
these,36
sections,35
men,34
models,34
moiety,33
rose,33
classificatory,33
across,32
other,31
there,31
mother,31
cycle,31
have,31
can,30
structures,29
le,28
if,27
normative,27
p,27
block,27
do,27
between,27
natives,26
american,26
no,26
were,26
sociology,26
may,25
norm,24
structural,24
who,24
does,23
aborigines,23
his,23
actors,23
more,23
blocks,23
values,23
at,22
into,22
such,22
journal,22
choice,22
than,21
data,21
only,21
daughter,21
solidarity,20
within,20
we,20
j,19
since,19
brother,19
white,19
age,19
beyond,19
marry,19
new,19
table,19
when,19
reciprocity,19
theory,19
yield,19
observed,19
group,18
exchanges,18
thus,18
university,18
because,18
rules,18
two,18
press,18
sister,17
sisters,17
cyclic,17
local,17
them,17
chain,17
some,16
even,16
cannot,16
same,16
equivalent,16
each,16
different,16
marriages,16
dyadic,16
should,16
kariera,16
rational,15
aranda,15
recognized,15
exploitation,15
restricted,15
others,15
would,15
relation,15
years,15
right,14
possible,14
people,14
pattern,14
where,14
so,14
wives,14
while,14
fzd,13
culturally,13
governing,13
population,13
fit,13
father,13
article,13
provide,13
first,12
how,12
cultural,12
order,12
society,12
he,12
grammar,12
male,12
over,12
balance,12
pairs,11
married,11
york,11
direct,11
network,11
wife,11
will,11
therefore,11
action,11
under,11
members,11
individuals,11
been,11
what,11
both,11
kin,11
groups,10
e,10
structurally,10
behavior,10
sample,10
show,10
could,10
well,10
example,10
mbd,10
incest,10
gift,10
many,10
fact,10
yields,10
spouse,10
homans,10
emergent,10
must,10
reported,10
mobility,9
case,9
has,9
bones,9
review,9
equivalence,9
taboo,9
though,9
persons,9
basis,9
categories,9
about,9
time,9
fits,9
see,9
another,9
formal,9
individual,9
note,9
here,9
form,9
through,9
using,9
named,9
need,9
cycles,8
induced,8
