WORDCOUNTS,WEIGHT
the,1159
of,532
in,511
usepackage,484
and,430
to,426
a,352
is,271
for,244
with,238
managers,173
network,171
ideas,141
were,140
that,136
renewcommand,132
on,127
idea,125
are,124
people,120
from,112
by,105
constraint,103
more,97
discussion,93
their,90
as,90
i,89
an,89
cyr,88
document,88
value,88
s,87
or,87
one,83
manager,83
brokerage,81
be,81
supply,79
chain,79
between,79
rank,70
not,70
have,70
two,69
other,68
which,65
model,62
average,62
it,59
but,59
contacts,58
social,57
at,55
was,55
this,55
they,54
across,54
test,52
so,52
there,50
had,50
who,50
table,50
end,48
good,48
salary,47
job,46
empty,45
holes,45
structural,45
begin,45
declaretextfontcommand,44
encodingdefault,44
textcyr,44
cited,44
mathrsfs,44
wncyss,44
portland,44
landscape,44
amsmath,44
rmdefault,44
fontenc,44
xspace,44
pifont,44
normalfont,44
bm,44
stmaryrd,44
amsbsy,44
sfdefault,44
amsxtra,44
selectfont,44
newcommand,44
aastex,44
figure,44
textcomp,44
association,44
amsfonts,44
declaremathsizes,44
wncyr,44
documentclass,44
pagestyle,44
amssymb,44
groups,43
would,42
fig,41
age,40
business,40
likely,39
senior,39
than,38
partners,36
p,36
if,35
within,33
company,32
higher,32
networks,32
discussed,32
see,32
no,31
relations,30
work,30
less,30
can,30
person,30
into,29
first,29
another,29
often,29
performance,28
statistic,28
e,27
t,27
years,27
second,27
could,26
most,25
data,25
survey,24
has,24
g,24
his,24
organization,24
about,24
three,24
information,24
because,23
year,23
same,23
where,23
group,22
being,22
whom,22
all,22
connected,22
units,22
shows,22
study,21
issues,21
when,21
each,21
colleagues,21
discuss,20
new,20
own,20
top,20
variables,20
control,20
judges,20
point,20
path,19
structure,19
creativity,19
variable,19
reported,19
through,19
advantage,18
third,18
contact,18
time,18
dismissed,18
both,18
evidence,18
evaluations,17
predicting,17
familiar,17
four,17
lower,17
change,17
high,17
role,17
among,17
judged,16
how,16
mean,16
my,16
its,16
order,16
only,16
do,16
unit,16
number,16
connections,16
analysis,16
education,16
associated,16
those,15
given,15
colleague,15
example,15
constant,15
clusters,15
then,15
connection,15
ranks,15
distinguishing,14
such,14
ratings,14
vs,14
beyond,14
brokers,14
population,14
results,14
valuable,14
opportunities,14
isolates,14
local,14
capital,14
what,14
df,14
some,13
vice,13
poor,13
operations,13
direct,13
logit,13
view,13
management,13
increase,13
dummy,13
we,13
been,13
them,13
promoted,13
centrality,13
much,13
zero,12
measures,12
negative,12
respondents,12
whose,12
levels,12
process,12
show,12
above,12
perceived,12
these,12
many,12
distance,12
significant,12
interconnected,12
thinking,12
best,12
level,12
hypothesis,12
does,11
judge,11
chi,11
cf,11
prediction,11
held,11
evaluation,11
outstanding,11
statistically,11
he,11
organizations,11
name,11
headquarters,11
increases,11
low,11
individual,11
after,11
promotion,11
article,11
james,11
over,11
measure,11
named,11
score,11
you,11
early,11
asked,11
robert,10
firm,10
central,10
however,10
urban,10
relative,10
positive,10
respondent,10
pattern,10
effect,10
note,10
five,10
vision,10
here,10
alternative,10
scores,10
theory,10
correlates,10
our,10
models,10
correlated,10
sociogram,10
c,10
should,10
directors,9
experience,9
long,9
j,9
correlation,9
expected,9
even,9
steps,9
support,9
significantly,9
knowledge,9
describe,9
densely,9
graph,9
around,9
small,9
few,9
bridge,9
research,9
action,9
positioned,9
rows,9
use,9
points,9
division,9
respect,9
any,9
did,9
better,9
add,9
dense,9
strong,9
stuart,8
large,8
bottom,8
left,8
vendors,8
rather,8
factors,8
ij,8
presidents,8
location,8
burt,8
strength,8
out,8
required,8
well,8
none,8
received,8
negligible,8
next,8
industry,8
salaries,8
up,8
illustrated,8
also,8
others,8
practice,8
provides,8
grade,8
circle,8
program,8
text,8
different,8
returns,8
her,8
cluster,8
multiple,8
increased,8
create,8
possible,7
z,7
single,7
find,7
purchasing,7
reference,7
b,7
white,7
result,7
access,7
directly,7
seemed,7
pp,7
stronger,7
creative,7
processes,7
rewarded,7
respectively,7
versus,7
yields,7
sometimes,7
team,7
conclusion,7
partner,7
current,7
powell,7
whether,7
terms,7
size,7
firms,7
scm,7
respective,7
enterprise,7
focus,7
broader,7
market,6
center,6
bias,6
holding,6
before,6
way,6
either,6
together,6
right,6
nor,6
spanned,6
plotted,6
ways,6
risk,6
probability,6
scale,6
benefits,6
bridges,6
neither,6
yes,6
based,6
markets,6
density,6
though,6
having,6
used,6
statistics,6
someone,6
sense,6
distances,6
dependent,6
cycle,6
will,6
strategic,6
thought,6
odds,6
kogut,6
fact,6
lack,6
outside,6
developing,6
convenience,6
ties,6
adding,6
like,6
anyone,6
evaluated,6
raise,6
lines,6
merton,6
executive,6
column,6
intellectual,6
collins,6
rating,6
categories,6
describes,6
world,6
question,6
difference,6
web,6
need,6
effects,6
summary,6
vary,6
maximum,6
little,6
difficult,5
corporate,5
created,5
judging,5
true,5
sequential,5
consistent,5
estimated,5
sources,5
words,5
available,5
continue,5
great,5
differences,5
link,5
reproduction,5
last,5
regression,5
everyone,5
system,5
except,5
relationships,5
facts,5
immediate,5
quality,5
since,5
initial,5
against,5
bridging,5
ability,5
elements,5
drawn,5
communication,5
leadership,5
competitive,5
without,5
proportion,5
distant,5
category,5
parentheses,5
frequently,5
flow,5
effort,5
hightech,5
employee,5
companies,5
prominent,5
whole,5
least,5
presented,5
below,5
le,5
arbitrage,5
core,5
generally,5
citations,5
aggregate,5
content,5
critical,5
variety,5
short,5
make,5
relationship,5
nonbrokers,5
informal,5
structures,5
again,5
broadly,5
john,5
external,5
answer,5
previous,5
described,5
express,5
function,5
lowtech,5
serendipity,5
random,5
computed,5
vide,5
separate,5
discussing,5
peers,5
provide,5
strongly,5
indicate,5
length,5
get,5
worlds,5
geographic,5
slope,5
know,5
leaders,5
report,5
goods,5
coefficients,5
list,5
extent,5
annual,5
proposing,5
mcevily,5
come,5
ordinal,5
specific,5
roles,5
correlations,4
extreme,4
alone,4
kinds,4
inference,4
predictor,4
behavior,4
source,4
creation,4
implications,4
analogies,4
reach,4
rich,4
integrate,4
key,4
capacity,4
account,4
responses,4
mutual,4
move,4
minimum,4
human,4
review,4
reputation,4
illustrates,4
price,4
pay,4
behaving,4
detecting,4
bachelor,4
distribution,4
incentives,4
illustration,4
similar,4
simonton,4
productive,4
consistency,4
subcontracts,4
changes,4
consider,4
elsewhere,4
director,4
n,4
perspective,4
weak,4
opinion,4
systems,4
greater,4
found,4
deal,4
creating,4
further,4
focused,4
indirect,4
persons,4
surrounded,4
energy,4
related,4
q,4
illustrative,4
anything,4
showing,4
project,4
president,4
status,4
graduate,4
detailed,4
things,4
box,4
contrast,4
always,4
production,4
training,4
activities,4
mechanism,4
span,4
integrating,4
podolny,4
limited,4
still,4
disappears,4
chap,4
percentage,4
seeing,4
technology,4
robust,4
largest,4
begins,4
death,4
knowing,4
projects,4
stories,4
areas,4
proposal,4
dismissal,4
diverse,4
invested,4
made,4
formal,4
engineers,4
predictors,4
standard,4
include,4
improving,4
propose,4
assigned,4
bars,4
science,4
inside,4
recognize,4
environment,4
rarely,4
hypothesized,4
ran,4
ordered,4
associations,4
biotechnology,4
drop,4
unlikely,4
sociology,4
while,4
require,4
iq,4
almost,4
residuals,4
art,4
datum,4
controls,4
varied,4
argument,4
broker,4
explanation,4
area,4
potential,4
technological,4
argote,4
building,4
close,4
row,4
marsden,3
later,3
indicated,3
names,3
truth,3
career,3
college,3
just,3
granovetter,3
walker,3
studies,3
refers,3
incentive,3
sr,3
highlight,3
diffusion,3
said,3
came,3
aside,3
explaining,3
autocorrelation,3
every,3
rate,3
taken,3
concentrated,3
might,3
worked,3
seems,3
nature,3
exemplar,3
reasons,3
train,3
fourtou,3
take,3
subsequent,3
reading,3
context,3
depends,3
task,3
draw,3
intermediaries,3
indirectly,3
determined,3
loglinear,3
measuring,3
say,3
constrained,3
segregation,3
thus,3
run,3
past,3
interest,3
turn,3
adjustment,3
back,3
highest,3
response,3
six,3
look,3
generation,3
columns,3
industries,3
interesting,3
predicted,3
act,3
bring,3
growth,3
adds,3
learning,3
adjustments,3
mobilize,3
solutions,3
affect,3
established,3
clearly,3
section,3
shorter,3
cost,3
putting,3
koput,3
cut,3
closely,3
acting,3
search,3
combinations,3
emerge,3
understood,3
viewed,3
produced,3
cannot,3
otherwise,3
your,3
method,3
improve,3
closed,3
implement,3
discusses,3
proportions,3
gave,3
contains,3
middle,3
personal,3
citing,3
computer,3
successful,3
stage,3
generators,3
involved,3
family,3
fatigue,3
concerns,3
schumpeter,3
dramatic,3
shaded,3
coordinate,3
decrement,3
moved,3
chains,3
various,3
squared,3
identified,3
economic,3
site,3
whatever,3
similarly,3
hold,3
observer,3
citation,3
makes,3
under,3
us,3
boundary,3
index,3
smith,3
padgett,3
homogeneous,3
reports,3
exit,3
evaluating,3
stated,3
spend,3
put,3
addition,3
hargadon,3
anecdotal,3
faster,3
pressure,3
beliefs,3
larger,3
decreases,3
variation,3
never,3
learn,3
relevant,3
reagans,3
belief,3
gives,3
dots,3
imagine,3
original,3
able,3
analyzed,3
background,3
discovery,3
represented,3
including,3
empirical,3
affects,3
rare,3
individuals,3
check,3
directed,3
divisions,3
abundant,3
spent,3
especially,3
specialize,3
excluded,3
looks,3
translate,3
slightly,3
equivalent,3
looked,3
tendency,3
electronics,3
attention,3
product,3
ansell,3
tests,3
inertia,3
lot,3
segments,3
predict,3
success,3
establish,3
spanning,3
responsible,3
months,3
considered,3
baseline,3
must,3
log,3
too,3
known,3
equipment,3
offers,3
equation,3
attribute,3
contradictory,3
rely,3
benefit,3
sum,3
rose,3
making,3
want,3
periphery,3
don,3
absorptive,3
brokered,3
despite,3
step,3
went,3
phenomenon,3
think,3
typically,3
define,3
integration,3
defined,3
off,3
removed,3
requires,3
themselves,3
ends,3
subordinates,3
frequent,2
fleming,2
rhône,2
conflicting,2
heroic,2
functional,2
personnel,2
environmental,2
combine,2
mundane,2
compensated,2
distributed,2
connect,2
enhance,2
identify,2
tend,2
gulati,2
rediscovered,2
former,2
weaker,2
qj,2
presents,2
menon,2
communicating,2
highlighted,2
else,2
philosophers,2
posed,2
scientific,2
generated,2
definition,2
engaged,2
possibilities,2
