WORDCOUNTS,WEIGHT
the,1151
of,883
to,634
in,465
a,461
and,401
that,390
field,385
is,322
as,227
this,199
be,179
theory,174
it,164
p,154
not,145
are,141
by,138
for,128
social,123
but,116
or,109
with,108
s,98
an,98
on,91
one,89
we,87
from,86
may,85
was,82
which,74
have,74
see,73
such,72
pp,67
bourdieu,66
there,62
has,62
more,59
at,58
they,57
lewin,56
some,53
what,53
other,52
between,49
all,48
i,48
their,47
he,47
action,47
while,46
his,45
can,43
these,42
most,40
explanation,40
must,40
first,39
only,39
because,38
its,38
no,37
our,37
if,36
theories,35
fields,35
case,34
will,34
also,34
sense,34
any,34
into,33
how,33
position,33
when,33
analysis,33
sciences,32
cf,31
general,31
important,31
e,30
do,30
understanding,29
approach,28
been,28
generally,27
world,27
does,26
something,26
g,26
though,26
than,26
were,26
theoretical,26
here,26
both,26
being,25
theorists,25
explain,25
different,25
space,24
would,24
force,24
then,24
terms,24
indeed,23
sociological,23
mannheim,23
person,23
game,23
since,22
even,22
about,22
us,22
individual,22
usepackage,22
thus,21
without,21
had,21
persons,21
own,21
object,21
environment,21
elements,20
out,20
work,20
people,20
same,20
two,20
made,20
so,20
set,20
them,20
way,19
those,19
conception,19
mechanisms,19
fürstenberg,19
organizations,19
many,19
particular,19
should,19
say,19
understood,18
use,18
like,18
structure,18
who,18
each,18
simply,18
need,18
could,17
cannot,17
however,17
example,17
make,17
another,17
institutions,17
understand,17
itself,17
form,17
necessarily,16
rules,16
idea,16
effect,16
seen,16
why,16
sociology,16
question,16
course,16
instead,16
point,16
approaches,15
attempt,15
nature,15
concrete,15
certain,15
koffka,15
contrast,15
others,15
fact,15
striving,15
principle,15
emphasis,15
relations,14
opposed,14
hesse,14
yet,14
upon,14
perception,14
tend,13
subjective,13
seems,13
right,13
gravity,13
objective,13
mechanism,13
objects,13
organization,13
fluid,13
actors,13
köhler,13
led,13
mey,13
law,13
often,13
weber,13
might,12
far,12
conflict,12
explained,12
thing,12
importance,12
further,12
well,12
role,12
model,12
less,12
number,12
life,12
very,12
mechanistic,12
level,12
potential,12
regularity,12
able,11
take,11
motion,11
implies,11
cases,11
wholly,11
