WORDCOUNTS,WEIGHT
the,572
of,460
to,228
race,226
and,215
in,214
a,155
that,153
is,105
racial,99
textbooks,92
as,80
on,72
has,65
have,60
for,58
it,57
by,56
races,55
from,53
are,52
or,49
not,49
genetic,47
scientific,46
this,40
their,39
be,39
human,38
with,36
about,35
biology,35
textbook,35
been,33
s,32
an,31
difference,31
which,30
they,29
i,28
biological,28
science,27
american,26
new,26
school,25
high,24
texts,24
most,23
concept,23
but,23
scientists,22
these,22
only,22
usepackage,22
its,21
research,21
more,21
what,21
one,20
public,20
discussion,19
than,18
p,18
over,18
how,17
also,17
time,17
do,17
so,17
can,17
at,16
all,16
published,16
two,16
first,15
no,15
study,15
et,15
al,15
each,15
both,15
passages,15
phenotypic,14
such,14
was,14
genetics,14
today,14
question,14
direct,13
found,13
however,13
second,13
like,13
when,13
evidence,13
between,13
century,12
fig,12
essentialism,12
dna,12
social,12
other,12
period,12
we,12
multiregional,12
into,11
sample,11
example,11
categories,11
states,11
e,10
being,10
thus,10
rather,10
knowledge,10
discussions,10
field,10
model,10
books,10
empirical,10
analysis,10
taxonomies,10
different,10
historical,10
terms,10
accounts,10
nature,9
differences,9
some,9
exist,9
since,9
important,9
indirect,9
population,9
essentialist,9
variation,9
then,9
lessons,9
physical,9
phenotypical,9
theory,9
although,9
hypothesis,9
now,8
ways,8
ideas,8
there,8
u,8
old,8
notions,8
authority,8
out,8
disorders,8
late,8
because,8
people,8
boundaries,8
lieberman,8
disease,8
were,8
become,8
visual,8
education,8
types,8
claims,8
did,8
them,8
world,8
offer,8
way,7
if,7
college,7
adoption,7
likely,7
within,7
phenotype,7
diversity,7
g,7
topic,7
single,7
traits,7
process,7
earlier,7
references,7
conceptualization,7
origins,7
article,7
nation,7
used,7
content,7
yet,7
same,7
many,7
longer,7
idea,7
contemporary,7
belief,7
explicitly,7
three,7
would,7
general,7
often,7
widely,7
share,7
growing,7
anthropology,7
whether,7
form,7
up,7
given,7
our,7
geneticization,7
lists,7
years,7
johnson,7
early,7
much,7
renewcommand,6
groups,6
might,6
even,6
americans,6
lay,6
emergence,6
surface,6
view,6
had,6
based,6
well,6
pedagogy,6
contrast,6
long,6
littlefield,6
under,6
taxonomy,6
patterns,6
where,6
see,6
another,6
understanding,6
findings,6
use,6
described,6
authors,6
markers,6
united,6
changing,6
popular,6
african,6
definitions,6
classification,6
traditional,6
focus,6
among,6
group,5
position,5
definition,5
those,5
point,5
above,5
medical,5
without,5
appear,5
color,5
cultural,5
appears,5
data,5
approach,5
discourse,5
several,5
species,5
thought,5
sociological,5
efforts,5
beliefs,5
present,5
perhaps,5
examination,5
previous,5
after,5
instruction,5
topics,5
africa,5
usually,5
transformation,5
simply,5
sciences,5
here,5
particularly,5
while,5
researchers,5
presented,5
through,5
understandings,5
finally,5
include,5
association,5
era,5
recent,5
does,4
market,4
schools,4
h,4
studies,4
decade,4
ii,4
book,4
verbal,4
last,4
principal,4
political,4
system,4
anthropologists,4
sapiens,4
cyr,4
development,4
analyzing,4
genotype,4
nor,4
document,4
body,4
young,4
left,4
statements,4
cohort,4
represented,4
pages,4
marks,4
organization,4
index,4
evolved,4
age,4
four,4
greater,4
identifying,4
changed,4
though,4
war,4
differ,4
characterization,4
related,4
describe,4
broad,4
heredity,4
away,4
order,4
characteristics,4
generally,4
genome,4
society,4
became,4
led,4
matter,4
short,4
relationship,4
makes,4
us,4
teaching,4
skin,4
landscape,4
number,4
upon,4
largely,4
dress,4
clear,4
readers,4
evolutionary,4
ideology,4
begin,4
widespread,4
expert,4
why,4
anthropological,4
any,4
series,4
mentioned,4
geographic,4
text,4
natural,4
half,4
inquiry,4
post,4
associated,4
type,4
explanations,4
list,4
namely,4
problem,4
suggests,4
publishers,4
maintained,4
national,4
instead,4
product,4
defined,4
blacks,4
views,4
major,4
democracy,3
done,3
cystic,3
common,3
later,3
introduction,3
identify,3
sets,3
easily,3
acdif,3
committee,3
t,3
posed,3
taken,3
words,3
available,3
secondary,3
origin,3
reveal,3
real,3
listing,3
feature,3
ancestry,3
state,3
aaa,3
opposite,3
context,3
nearly,3
account,3
shared,3
reaching,3
central,3
portray,3
smallwood,3
kind,3
popularization,3
messages,3
site,3
racism,3
smedley,3
principally,3
growth,3
across,3
proportion,3
b,3
illustrations,3
white,3
moreover,3
impact,3
subsamples,3
franz,3
whereas,3
result,3
came,3
called,3
lent,3
understood,3
taught,3
shape,3
specifically,3
bolster,3
already,3
place,3
reflect,3
project,3
markedly,3
recast,3
around,3
consensus,3
wider,3
highly,3
decline,3
visible,3
multiracial,3
using,3
apparent,3
south,3
variety,3
absence,3
identified,3
framing,3
reconstruction,3
make,3
standing,3
once,3
examined,3
neither,3
demographic,3
included,3
increasingly,3
lee,3
members,3
challenge,3
power,3
mark,3
others,3
fundamental,3
areas,3
teachers,3
fallen,3
end,3
man,3
simple,3
genealogy,3
heavily,3
fibrosis,3
genetically,3
top,3
entirely,3
raven,3
students,3
originated,3
taxonomic,3
anthropometric,3
ongoing,3
accurate,3
black,3
especially,3
discarded,3
labels,3
outside,3
effect,3
teach,3
story,3
isn,3
tests,3
groupings,3
provide,3
five,3
foreign,3
fewer,3
accepted,3
detailed,3
whereby,3
life,3
blood,3
exists,3
matters,3
roughly,3
reformulation,3
membership,3
pt,3
defining,3
intellectual,3
connection,3
linked,3
past,3
unlikely,3
implicit,3
making,3
particular,3
reardon,3
freedom,3
preserved,3
conclude,3
introduced,3
altogether,3
role,3
come,3
shown,3
argument,3
charts,3
finding,3
define,3
rejection,3
debate,3
little,3
beings,3
frequent,2
superiority,2
conflicting,2
differentials,2
truth,2
credibility,2
determine,2
large,2
enduring,2
schneider,2
kinds,2
jews,2
true,2
refashioned,2
sickle,2
history,2
unlike,2
total,2
before,2
eye,2
source,2
baker,2
credence,2
overwhelmingly,2
subsample,2
www,2
sources,2
expertise,2
declaretextfontcommand,2
originally,2
sampling,2
retreat,2
diseases,2
official,2
seems,2
reach,2
shaped,2
encodingdefault,2
reasons,2
analyses,2
rich,2
onto,2
scheme,2
take,2
evolving,2
biologists,2
concepts,2
contents,2
citizenship,2
less,2
selectfont,2
issue,2
empty,2
occasional,2
existence,2
wncyr,2
coproduction,2
america,2
clearly,2
indirectly,2
characterize,2
adopting,2
pharmaceuticals,2
textcyr,2
whites,2
sachs,2
mathrsfs,2
collection,2
wncyss,2
framework,2
repeatedly,2
proved,2
examining,2
typological,2
molecularization,2
veracity,2
authoritative,2
relatively,2
polygenism,2
elements,2
raises,2
refer,2
concerning,2
difficulty,2
gauge,2
third,2
publications,2
upturn,2
explore,2
student,2
critique,2
deeply,2
educators,2
hardly,2
handful,2
curricular,2
vantage,2
may,2
mechanisms,2
portland,2
opposed,2
online,2
simultaneously,2
reflects,2
links,2
slavery,2
main,2
paths,2
organizing,2
basic,2
influential,2
notion,2
approaches,2
signaled,2
special,2
overlooked,2
support,2
means,2
understand,2
changes,2
ensure,2
multiraciality,2
independently,2
depository,2
producers,2
just,2
edition,2
misconceptions,2
powerful,2
follow,2
linkage,2
instance,2
answers,2
vis,2
participants,2
declined,2
could,2
method,2
typical,2
cell,2
attack,2
lived,2
underneath,2
deal,2
international,2
census,2
malleability,2
term,2
app,2
academic,2
further,2
equally,2
furthermore,2
informed,2
buried,2
rmdefault,2
fontenc,2
companies,2
applied,2
revived,2
briefly,2
almost,2
directly,2
xspace,2
accounting,2
literature,2
work,2
viability,2
received,2
writers,2
claim,2
reader,2
advancement,2
civil,2
bm,2
curriculum,2
explain,2
routinely,2
description,2
year,2
bible,2
older,2
size,2
constitute,2
concentrate,2
mired,2
sampled,2
definite,2
either,2
change,2
describing,2
working,2
indicators,2
next,2
components,2
presence,2
fully,2
dependent,2
caucasians,2
results,2
roots,2
inform,2
moved,2
seemed,2
suit,2
