WORDCOUNTS,WEIGHT
the,485
of,428
to,309
and,300
rights,256
human,232
in,216
a,172
international,154
usepackage,154
that,144
we,118
on,92
state,90
are,87
treaties,83
is,72
for,70
states,70
ratification,68
with,64
by,57
our,57
practices,53
governments,52
have,52
as,51
these,49
this,48
treaty,48
their,47
repression,46
regime,46
government,45
has,43
society,43
not,43
renewcommand,42
political,40
global,39
time,38
model,38
from,38
or,37
effect,36
law,35
civil,33
effects,29
document,28
compliance,28
cyr,28
more,27
number,27
they,25
an,25
data,25
scholars,25
findings,25
world,25
behavior,24
no,23
legal,23
when,23
likely,22
empty,22
often,22
practice,22
domestic,22
et,21
al,21
two,20
studies,19
impact,19
war,19
poe,19
violations,19
variables,19
between,19
negative,18
actors,18
core,18
many,18
norms,18
ratified,18
over,18
comply,17
also,17
national,17
variable,17
all,16
other,16
thus,16
most,16
do,16
whether,16
be,16
cat,15
economic,15
but,15
which,15
begin,15
approach,15
mathrsfs,14
declaretextfontcommand,14
selectfont,14
textcyr,14
wncyss,14
landscape,14
fontenc,14
factors,14
rmdefault,14
portland,14
xspace,14
bm,14
order,14
sfdefault,14
stmaryrd,14
amsbsy,14
positive,14
pifont,14
encodingdefault,14
normalfont,14
end,14
amsmath,14
amsxtra,14
newcommand,14
aastex,14
can,14
table,14
textcomp,14
legitimacy,14
analysis,14
citizens,14
amsfonts,14
declaremathsizes,14
wncyr,14
documentclass,14
pagestyle,14
amssymb,14
although,14
it,13
into,13
first,13
principles,13
enforcement,13
may,13
year,13
ratify,13
pressure,13
models,13
institutional,13
include,13
does,12
s,12
relations,12
meyer,12
linkage,12
commitments,12
protect,12
organizations,12
nongovernmental,12
growing,12
while,12
information,12
measures,11
six,11
direct,11
ingos,11
change,11
level,11
new,11
evidence,11
log,11
at,10
commitment,10
fixed,10
some,10
mechanisms,10
consider,10
decoupling,10
population,10
where,10
years,10
empirical,10
theoretical,10
iccpr,10
through,10
argument,10
expect,9
policy,9
system,9
than,9
influence,9
across,9
process,9
p,9
agreements,9
improve,9
literature,9
cold,9
led,9
torture,9
local,9
use,9
control,9
argue,9
both,9
reported,9
strong,9
groups,8
amnesty,8
analyses,8
there,8
since,8
interest,8
study,8
support,8
was,8
had,8
however,8
explain,8
possibility,8
its,8
several,8
using,8
nations,8
will,8
limited,8
reports,8
increasingly,8
social,8
lack,8
likelihood,8
provide,8
been,8
institutions,8
offer,8
democracy,7
identify,7
test,7
consistent,7
interests,7
cerd,7
key,7
politics,7
against,7
convention,7
find,7
y,7
even,7
without,7
murder,7
basic,7
weak,7
important,7
greater,7
term,7
because,7
suggest,7
mitchell,7
research,7
icescr,7
dependent,7
therefore,7
percentage,7
about,7
repressive,7
cedaw,7
ingo,7
only,7
mccormick,7
matrix,7
formal,7
tate,7
affects,7
period,7
after,7
crc,7
examine,7
increasing,7
un,7
respect,7
series,7
report,7
better,7
them,7
measure,7
duration,7
burton,6
one,6
tend,6
committee,6
encourage,6
gap,6
available,6
those,6
development,6
hafner,6
act,6
additional,6
imprisonment,6
standards,6
lead,6
radical,6
around,6
appropriate,6
paradox,6
power,6
see,6
discrimination,6
significant,6
hypotheses,6
previous,6
finally,6
sikkink,6
organizational,6
each,6
post,6
section,6
following,6
little,6
given,6
cross,6
systematically,5
designed,5
approaches,5
actual,5
normative,5
case,5
promises,5
such,5
sample,5
repress,5
follow,5
out,5
cultural,5
well,5
participation,5
mncs,5
place,5
people,5
systematic,5
count,5
results,5
second,5
elimination,5
protecting,5
incentives,5
make,5
mainstream,5
yet,5
reporting,5
existing,5
less,5
predict,5
rare,5
trade,5
three,5
times,5
so,5
function,5
collected,5
exchange,5
below,5
regimes,5
attention,5
today,5
any,5
membership,5
different,5
person,5
pooled,5
theory,5
press,5
arguments,5
among,5
recent,5
common,4
created,4
provisions,4
join,4
either,4
every,4
nature,4
capitalist,4
substantive,4
i,4
keith,4
within,4
racial,4
capacity,4
x,4
z,4
detention,4
cases,4
estimate,4
camp,4
activists,4
stop,4
forced,4
levels,4
similar,4
institutionalization,4
means,4
observations,4
age,4
drawing,4
result,4
embedded,4
further,4
cannot,4
work,4
small,4
memberships,4
activities,4
expansion,4
commit,4
relationship,4
rational,4
lagged,4
security,4
department,4
enforce,4
toward,4
others,4
larger,4
serious,4
external,4
forms,4
gdp,4
disappearance,4
ordinal,4
values,4
emphasize,4
ideas,4
tsutsui,4
were,4
theories,4
dummy,4
would,4
general,4
thomas,4
become,4
structure,4
henderson,4
five,4
dimensions,4
who,4
paradoxical,4
life,4
expectations,4
itself,4
pressures,4
keck,4
predictions,4
extensive,4
here,4
boli,4
current,4
ratifying,4
past,4
problem,4
presented,4
bargaining,4
average,4
finding,4
observed,4
hypothesis,4
difficult,3
child,3
obligations,3
if,3
legitimate,3
determine,3
ways,3
protection,3
necessarily,3
source,3
women,3
finnemore,3
sources,3
long,3
ii,3
taken,3
address,3
rapid,3
words,3
reasons,3
subsequent,3
publicize,3
context,3
advocates,3
primary,3
u,3
incorporate,3
draw,3
cooperation,3
measuring,3
supply,3
laws,3
warfare,3
includes,3
throughout,3
dynamics,3
codified,3
rowan,3
rather,3
how,3
influenced,3
granted,3
improvement,3
downs,3
based,3
introduce,3
found,3
rationalist,3
effort,3
monitoring,3
shield,3
indirect,3
tools,3
directly,3
competing,3
example,3
nation,3
actually,3
structures,3
reflect,3
contrast,3
hence,3
bank,3
few,3
annual,3
examines,3
valuable,3
content,3
variety,3
various,3
short,3
comparative,3
motivated,3
indicates,3
violence,3
examined,3
makes,3
pp,3
us,3
thesis,3
same,3
exacerbating,3
members,3
goals,3
apodaca,3
efforts,3
shows,3
powerless,3
great,3
question,3
hand,3
free,3
behaviors,3
disaggregate,3
risse,3
processes,3
trend,3
optimistic,3
described,3
authors,3
like,3
provides,3
problems,3
systems,3
promote,3
tendency,3
decision,3
space,3
spiral,3
violation,3
perspectives,3
note,3
independent,3
figure,3
hathaway,3
sectional,3
united,3
considered,3
detail,3
noncompliance,3
democracies,3
alternative,3
country,3
socialize,3
did,3
appendix,3
constructivists,3
particularly,3
build,3
historical,3
explanations,3
what,3
stability,3
rising,3
sociology,3
constructivist,3
produce,3
suggests,3
bodies,3
democratic,3
challenges,3
argues,3
leverage,3
accept,3
upon,3
increased,3
c,3
elites,3
point,3
vary,3
views,3
final,2
helped,2
way,2
fertile,2
correlation,2
extreme,2
extend,2
adoption,2
per,2
large,2
effective,2
authority,2
openness,2
sets,2
contend,2
acceptance,2
b,2
individually,2
total,2
before,2
stochastic,2
chief,2
leads,2
member,2
www,2
advanced,2
liberty,2
scientists,2
assess,2
suggesting,2
together,2
differences,2
richards,2
resulting,2
take,2
real,2
last,2
capita,2
worldwide,2
governmental,2
chomsky,2
right,2
possible,2
e,2
determined,2
variations,2
resources,2
circumscribe,2
dignity,2
signal,2
regarding,2
conflict,2
review,2
relatively,2
insofar,2
nonstate,2
