WORDCOUNTS,WEIGHT
the,709
and,542
of,509
in,419
to,402
a,198
that,179
immigrants,163
for,140
as,140
legal,125
is,122
their,119
with,114
violence,108
are,104
they,94
s,92
have,89
i,85
this,85
law,81
immigration,78
on,78
we,73
or,72
it,71
these,69
from,69
who,56
not,56
by,52
has,50
laws,46
when,43
undocumented,42
but,42
states,42
school,41
them,41
his,40
united,40
at,39
been,39
through,39
social,38
u,38
t,37
which,37
also,36
her,36
be,36
can,34
he,33
even,33
how,33
immigrant,33
work,33
because,31
she,31
was,30
statuses,30
incorporation,30
an,29
status,29
effects,29
menjívar,28
structural,28
lives,28
more,27
thus,26
family,26
time,26
central,25
many,25
so,25
about,24
see,24
other,22
those,22
society,22
our,22
forms,22
were,22
symbolic,22
current,22
years,22
such,21
experiences,21
although,21
you,21
one,20
all,20
there,20
american,20
workers,20
families,20
now,19
being,19
individuals,19
consequences,19
my,19
often,19
if,18
us,18
various,18
deportation,18
do,18
like,18
high,18
today,18
conditions,18
into,17
paths,17
tenuous,17
go,16
context,16
implementation,16
rights,16
no,16
had,16
will,16
new,16
students,16
criminal,16
countries,16
country,16
don,16
college,15
uncertain,15
up,15
makes,15
assimilation,15
abrego,15
life,15
regime,15
phoenix,15
among,15
g,14
border,14
documented,14
salvadoran,14
practices,14
violent,14
him,14
me,14
guatemalan,14
migration,14
what,14
youth,14
back,13
without,13
parents,13
study,13
well,13
communities,13
home,13
two,13
raids,13
where,13
fear,13
any,13
different,13
money,13
state,12
possible,12
enforcement,12
since,12
may,12
ways,12
access,12
civil,12
people,12
increasingly,12
children,12
another,12
after,12
particularly,12
living,12
lens,12
day,12
deported,12
between,12
federal,11
political,11
physical,11
case,11
some,11
human,11
would,11
than,11
pay,11
just,11
threat,11
participants,11
public,11
its,11
place,11
economic,11
members,11
salvadorans,11
contemporary,11
vulnerable,11
made,11
education,11
get,11
know,11
going,11
suffering,11
normal,10
student,10
angeles,10
situations,10
most,10
result,10
p,10
out,10
further,10
however,10
policies,10
et,10
los,10
still,10
security,10
al,10
program,10
here,10
job,10
want,10
guatemalans,10
potential,10
much,10
way,9
created,9
before,9
papers,9
key,9
apply,9
immediate,9
legally,9
massey,9
tps,9
instance,9
relatives,9
situation,9
ice,9
perceived,9
power,9
described,9
effect,9
then,9
secure,9
categories,9
multiple,9
integration,9
harmful,9
group,8
mobility,8
schools,8
experience,8
point,8
process,8
iirira,8
similar,8
house,8
portes,8
vulnerability,8
year,8
during,8
criminals,8
opportunities,8
only,8
d,8
three,8
hondurans,8
become,8
attention,8
mother,8
importantly,8
wages,8
over,8
while,8
local,8
think,8
national,8
focus,8
arizona,8
groups,7
live,7
every,7
origin,7
take,7
debt,7
system,7
against,7
look,7
didn,7
mcso,7
higher,7
act,7
feel,7
perceptions,7
affect,7
receiving,7
m,7
shared,7
having,7
already,7
call,7
successful,7
normalized,7
clara,7
make,7
under,7
same,7
never,7
jobs,7
stay,7
times,7
especially,7
examine,7
applications,7
employment,7
health,7
instances,7
considered,7
very,7
past,7
went,7
target,7
allows,7
come,7
re,7
recent,7
crossing,6
illegal,6
likely,6
studies,6
first,6
labor,6
taken,6
help,6
along,6
throughout,6
due,6
turn,6
employers,6
find,6
americans,6
bring,6
levels,6
granted,6
linked,6
always,6
permanent,6
care,6
honduras,6
worker,6
embedded,6
though,6
used,6
protected,6
example,6
structures,6
working,6
order,6
several,6
temporary,6
describes,6
actions,6
periods,6
treatment,6
everyday,6
less,6
deportations,6
behaviors,6
use,6
services,6
educational,6
husband,6
becomes,6
class,6
deportability,6
natural,6
particular,6
sanctioned,6
dangerous,6
increased,6
early,6
does,5
car,5
separated,5
market,5
conducted,5
position,5
inequality,5
words,5
marcos,5
together,5
potentially,5
found,5
resulting,5
world,5
move,5
language,5
september,5
de,5
media,5
rooted,5
expected,5
cases,5
keep,5
houses,5
manuel,5
poor,5
whose,5
rather,5
capture,5
direct,5
moreover,5
means,5
understand,5
benefits,5
too,5
decades,5
could,5
your,5
possibility,5
receive,5
learn,5
spheres,5
hagan,5
part,5
away,5
anything,5
own,5
change,5
things,5
results,5
crime,5
role,5
nation,5
reception,5
examined,5
areas,5
exclusion,5
mistreatment,5
end,5
outside,5
strategies,5
including,5
food,5
processes,5
agreement,5
general,5
jurisdiction,5
aid,5
institutions,5
smuggling,5
insecurity,5
analysis,5
matters,5
associated,5
control,5
each,5
argue,5
whether,5
making,5
both,5
little,5
writing,5
tell,5
genova,5
accept,5
harm,5
afraid,5
terrorists,5
uncertainty,5
strong,5
seek,5
difficult,4
mostly,4
convergence,4
common,4
e,4
per,4
injuries,4
protection,4
exacerbate,4
highlight,4
said,4
permit,4
jackman,4
borders,4
trip,4
el,4
includes,4
police,4
predicament,4
nelson,4
