WORDCOUNTS,WEIGHT
the,678
and,579
of,532
in,317
to,268
a,222
associations,167
that,160
world,155
we,153
society,138
as,133
on,131
for,119
are,115
association,112
is,107
state,104
social,79
our,77
political,73
by,66
with,65
which,61
or,60
data,57
from,56
organizations,53
has,50
civil,49
more,49
have,48
also,45
not,44
international,43
groups,42
effect,42
associational,41
expansion,41
model,41
models,41
this,39
an,39
but,38
democracy,37
variables,37
life,37
societies,36
domestic,36
e,34
such,34
may,33
countries,33
s,32
bank,32
national,32
variable,31
development,30
g,30
states,30
be,30
resources,29
education,28
at,27
levels,27
civic,26
most,25
other,24
than,24
positive,24
see,24
large,23
all,23
measure,23
it,22
one,22
cultural,22
issues,22
voluntary,22
schofer,21
ea,21
log,21
global,21
level,21
public,20
work,20
literature,20
these,20
many,20
time,20
democratic,19
et,19
around,19
al,19
significant,19
environmental,18
wealth,18
participation,18
professional,18
table,18
types,18
issue,17
sphere,17
across,17
their,17
its,17
independent,17
institutions,17
they,16
linkages,16
sources,16
government,16
some,16
support,16
skocpol,16
trade,16
movements,16
include,16
bias,15
scope,15
polity,15
panel,15
industry,15
dependent,15
nations,15
projects,15
can,15
provide,15
over,15
find,15
instance,14
recreational,14
findings,14
encourage,14
membership,14
finally,14
effects,14
common,13
openness,13
modern,13
interest,13
influence,13
growth,13
war,13
highly,13
results,13
expanded,13
ngos,13
values,13
often,13
boli,13
measures,12
expect,12
dynamic,12
rights,12
was,12
however,12
because,12
sense,12
economic,12
overall,12
movement,12
less,12
new,12
individual,12
provides,12
set,12
very,12
historical,12
into,11
scientific,11
system,11
prior,11
thus,11
general,11
rather,11
study,11
ingos,11
when,11
will,11
collective,11
increasingly,11
addition,11
variation,11
forms,11
do,11
local,11
decentralization,11
high,11
problems,11
become,11
aid,11
organizational,11
focus,11
much,11
source,10
consistent,10
analyses,10
those,10
within,10
key,10
no,10
gmm,10
consider,10
impact,10
important,10
population,10
part,10
small,10
two,10
instability,10
so,10
thomas,10
paxton,10
united,10
itself,10
each,10
country,10
particularly,10
between,10
among,10
recent,10
likely,9
human,9
regression,9
central,9
cases,9
higher,9
similar,9
based,9
p,9
density,9
size,9
t,9
up,9
logged,9
number,9
use,9
argue,9
what,9
formation,9
policy,8
address,8
there,8
exogenous,8
america,8
activity,8
structuration,8
used,8
even,8
main,8
active,8
importance,8
understand,8
additional,8
found,8
years,8
out,8
though,8
directly,8
actors,8
both,8
community,8
culture,8
only,8
available,8
developing,8
lags,8
were,8
period,8
attention,8
factors,8
un,8
strongly,8
measured,8
citizens,8
environment,8
legitimated,8
funding,8
natural,8
anheier,8
identities,8
form,8
variability,8
generate,8
legitimate,7
tend,7
studies,7
nondemocratic,7
first,7
rapid,7
europe,7
differences,7
case,7
since,7
sample,7
moreover,7
organization,7
wooldridge,7
further,7
explain,7
well,7
mobilization,7
test,7
change,7
research,7
activities,7
second,7
longitudinal,7
percentage,7
lagged,7
index,7
included,7
areas,7
larger,7
substantially,7
where,7
gdp,7
examples,7
reimann,7
including,7
features,7
relative,7
engagement,7
note,7
examine,7
theme,7
expanding,7
salamon,7
constant,7
extent,7
putnam,7
using,7
argument,7
smaller,7
specific,7
broader,7
now,6
represent,6
per,6
group,6
predicting,6
might,6
capacity,6
correlation,6
meyer,6
y,6
soviet,6
how,6
organizing,6
directory,6
encourages,6
coefficients,6
linkage,6
result,6
focused,6
instrumental,6
basis,6
structures,6
below,6
contrast,6
neoinstitutional,6
memberships,6
about,6
frank,6
yet,6
infrastructure,6
sector,6
scholars,6
omitted,6
advocacy,6
purposes,6
agencies,6
range,6
processes,6
would,6
ngo,6
educational,6
especially,6
democracies,6
control,6
different,6
capital,6
information,6
observations,6
little,6
conventional,6
arguments,6
devoted,6
typically,6
constructed,6
roughly,6
coefficient,6
estimator,6
given,6
decentralized,5
generated,5
fiorina,5
equations,5
societal,5
various,5
interests,5
taken,5
great,5
substantive,5
i,5
globe,5
u,5
account,5
includes,5
unstandardized,5
lending,5
back,5
instruments,5
citizen,5
incentives,5
reflects,5
ways,5
process,5
after,5
consequences,5
parentheses,5
numbers,5
welfare,5
beyond,5
founding,5
providing,5
appear,5
whereas,5
endogenous,5
agenda,5
example,5
expansive,5
verba,5
status,5
several,5
observe,5
variety,5
short,5
limited,5
opportunities,5
assistance,5
same,5
toward,5
again,5
idea,5
longhofer,5
governance,5
discourses,5
industrialized,5
initiatives,5
three,5
latter,5
regimes,5
been,5
exogeneity,5
growing,5
following,5
them,5
terms,5
sociology,5
ses,5
through,5
assumptions,5
waves,5
influenced,5
although,5
supported,5
seek,5
building,5
does,4
disaggregated,4
if,4
extend,4
myth,4
effective,4
greater,4
women,4
way,4
expands,4
professions,4
assess,4
generalize,4
able,4
take,4
help,4
eastern,4
nearly,4
almond,4
primary,4
politics,4
laws,4
increase,4
dynamics,4
past,4
funds,4
dates,4
descriptive,4
opposed,4
legitimation,4
notion,4
legal,4
direct,4
serial,4
institutionalized,4
changes,4
affect,4
particular,4
korea,4
former,4
powerful,4
strategy,4
drawing,4
had,4
sociologically,4
deal,4
topics,4
survivor,4
structure,4
shape,4
strict,4
related,4
categories,4
lower,4
proliferation,4
errors,4
suggest,4
prevalence,4
specifically,4
structured,4
provided,4
statism,4
lag,4
classic,4
above,4
expenditures,4
structural,4
examined,4
sociologists,4
asia,4
robust,4
violations,4
ingo,4
picture,4
capacities,4
similarly,4
experienced,4
efforts,4
skills,4
insular,4
ideology,4
banks,4
contemporary,4
patterns,4
japan,4
perhaps,4
degree,4
institutionalization,4
private,4
hironaka,4
formal,4
largely,4
individuals,4
nevertheless,4
ties,4
andrews,4
comprehensive,4
health,4
standard,4
nonprofit,4
foreign,4
rapidly,4
supporting,4
associated,4
sweden,4
gale,4
donors,4
latin,4
distinctive,4
type,4
capita,4
generally,4
autocratic,4
role,4
subject,4
programs,4
institutional,4
correlated,4
scholarship,4
interaction,4
strong,4
north,4
major,4
barr,3
oriented,3
correlations,3
empirical,3
american,3
identify,3
protection,3
western,3
fixed,3
history,3
porous,3
either,3
provision,3
long,3
ii,3
emerged,3
official,3
dramatically,3
broadly,3
potentially,3
normative,3
survey,3
replicated,3
arise,3
captures,3
discuss,3
obvious,3
far,3
educated,3
funded,3
regarding,3
historically,3
pursue,3
domain,3
relatively,3
heterogeneity,3
turn,3
estimate,3
networks,3
look,3
rates,3
implementation,3
employ,3
via,3
bring,3
impetus,3
developed,3
connected,3
linked,3
just,3
show,3
efficient,3
conditional,3
decades,3
union,3
legislative,3
conservative,3
generates,3
agendas,3
emerge,3
experts,3
term,3
proenvironmental,3
unobserved,3
embedded,3
biases,3
democratization,3
conferences,3
globally,3
future,3
planning,3
training,3
gender,3
highlight,3
whole,3
year,3
database,3
during,3
policies,3
constitute,3
panacea,3
reflect,3
trends,3
approach,3
regions,3
good,3
responsibility,3
order,3
discourse,3
quite,3
intervals,3
affluent,3
governments,3
progress,3
appropriate,3
newly,3
aggregate,3
portion,3
identified,3
action,3
transnational,3
indeed,3
service,3
reduce,3
repression,3
repressive,3
serve,3
organize,3
useful,3
challenge,3
business,3
others,3
fact,3
wide,3
fundamental,3
exogenously,3
post,3
regulation,3
present,3
answer,3
baltagi,3
explicitly,3
website,3
discussion,3
effectiveness,3
uia,3
host,3
controlling,3
assumption,3
emphasize,3
ideas,3
actual,3
aids,3
check,3
open,3
times,3
collaboration,3
like,3
collected,3
serves,3
random,3
mainly,3
cognitive,3
henderson,3
versus,3
figure,3
five,3
maps,3
