WORDCOUNTS,WEIGHT
the,612
of,561
and,453
usepackage,319
in,305
to,293
discrimination,205
that,183
we,137
for,131
a,126
are,124
workers,119
charges,116
race,108
is,104
as,103
sex,96
renewcommand,87
establishments,85
with,81
on,81
or,73
by,66
workplace,65
document,59
regulatory,59
female,58
claims,58
cyr,58
this,57
charge,56
establishment,53
our,53
institutional,52
more,50
agents,50
p,49
minority,47
organizational,46
cause,45
eeoc,44
their,43
reasonable,42
conditions,42
managers,41
while,41
which,40
all,38
may,37
from,37
an,36
practices,35
these,35
employment,35
proportion,34
not,34
complaints,34
environments,33
number,33
employees,33
legal,32
characteristics,32
have,31
likely,30
behavior,30
thus,30
such,30
affect,30
results,30
environment,30
models,30
declaretextfontcommand,29
encodingdefault,29
selectfont,29
empty,29
mathrsfs,29
wncyss,29
cases,29
portland,29
how,29
landscape,29
rmdefault,29
fontenc,29
amsbsy,29
because,29
xspace,29
bm,29
normalfont,29
textcyr,29
pifont,29
stmaryrd,29
end,29
sfdefault,29
amsmath,29
amsxtra,29
newcommand,29
aastex,29
textcomp,29
begin,29
amsfonts,29
declaremathsizes,29
wncyr,29
size,29
documentclass,29
pagestyle,29
amssymb,29
discriminatory,28
minorities,28
those,27
segregation,26
rights,26
research,26
evidence,26
federal,25
variation,25
be,25
women,24
than,24
filed,24
data,23
law,23
verified,23
at,22
they,22
process,22
occupational,22
action,22
also,22
both,22
between,22
other,21
racial,21
employers,21
effect,21
work,21
year,21
sector,21
eeo,21
can,21
rate,20
first,20
find,20
organizations,20
time,20
formal,20
extent,20
composition,19
using,19
filings,19
effects,19
personnel,18
one,18
against,18
sample,18
should,18
findings,18
affirmative,18
file,17
organization,17
however,17
analysis,17
table,17
disputes,17
subject,17
level,16
but,16
representation,16
less,16
among,16
identify,15
ascriptive,15
well,15
related,15
status,15
nonmanagers,15
variable,15
include,15
regarding,14
industries,14
perceptions,14
civil,14
positions,14
et,14
management,14
al,14
reports,14
only,14
increase,14
suggests,14
finally,14
it,13
if,13
might,13
s,13
across,13
factors,13
presence,13
decisions,13
external,13
see,13
norms,13
formalization,13
manual,13
although,13
total,12
some,12
labor,12
given,12
incidence,12
study,12
equal,12
policies,12
client,12
addition,12
control,12
making,12
per,11
expect,11
title,11
analyses,11
third,11
act,11
subsidiary,11
lead,11
officials,11
suggest,11
second,11
larger,11
including,11
variables,11
over,11
terms,11
measure,11
unlawful,10
measures,10
into,10
predicting,10
inequality,10
within,10
levels,10
similar,10
based,10
embedded,10
structures,10
dependent,10
gender,10
under,10
model,10
