WORDCOUNTS,WEIGHT
the,897
of,617
and,331
in,320
to,295
a,163
that,129
opera,125
organizational,116
as,110
by,104
for,90
was,87
on,80
imprinting,78
which,76
this,75
an,72
academy,71
have,71
is,69
founding,66
perrin,64
be,60
with,59
it,58
cultural,58
new,58
s,57
royal,54
french,53
at,50
from,50
not,48
or,47
organization,45
their,44
his,42
academies,42
process,41
louis,41
entrepreneurship,40
while,38
these,37
other,36
organizations,36
are,35
elements,33
may,30
its,29
paris,29
than,28
p,28
but,28
were,28
entrepreneurs,26
had,26
would,26
italian,25
most,25
first,24
charter,24
through,24
commercial,24
e,23
such,22
public,22
theater,22
he,22
more,22
been,22
one,21
g,21
century,21
context,20
phase,20
also,20
model,20
analysis,20
they,19
into,19
i,19
those,19
key,19
social,19
case,19
studies,18
has,18
founded,18
historical,18
how,17
xiv,17
we,17
who,17
king,17
form,17
both,17
models,17
resources,16
however,16
because,16
place,16
entrepreneurial,16
no,15
work,15
music,15
operatic,15
among,15
production,14
research,14
two,14
time,14
stakeholders,14
can,14
structure,14
any,14
did,14
rather,13
important,13
well,13
actors,13
when,13
only,13
available,13
creation,12
thus,12
theaters,12
isomorphism,12
status,12
approach,12
members,12
toward,12
efforts,12
political,12
foundings,12
given,12
instead,12
between,12
all,11
nature,11
there,11
de,11
whose,11
study,11
based,11
fact,11
students,11
particular,11
role,11
stinchcombe,11
france,11
académie,11
here,11
agency,10
performance,10
impact,10
italians,10
example,10
stage,10
neoinstitutional,10
second,10
same,10
others,10
less,10
subsequent,10
article,10
attention,10
seen,10
environment,10
what,10
entrepreneur,10
conditions,10
specific,10
vis,10
course,10
before,9
court,9
imprinted,9
some,9
even,9
academic,9
genre,9
neoinstitutionalists,9
part,9
ecologists,9
structures,9
will,9
therefore,9
individual,9
why,9
founders,9
then,9
works,9
art,9
despite,9
discussion,9
phenomenon,9
our,9
question,9
years,9
early,9
if,8
long,8
together,8
himself,8
goal,8
after,8
term,8
founder,8
own,8
action,8
economic,8
under,8
do,8
performances,8
another,8
language,8
features,8
incorporated,8
sciences,8
prestige,8
researchers,8
shown,8
institutional,8
although,8
technological,8
burton,7
history,7
noble,7
operas,7
persistence,7
right,7
very,7
reproduced,7
profit,7
hybrid,7
environments,7
my,7
characteristics,7
various,7
mechanisms,7
interactions,7
hannan,7
yet,7
pp,7
actually,7
power,7
many,7
present,7
processes,7
held,7
vision,7
colbert,7
itself,7
following,7
set,7
extant,7
theory,7
phenomena,7
must,7
contribute,7
should,7
environmental,6
over,6
likely,6
producing,6
system,6
takes,6
draw,6
run,6
since,6
agent,6
interest,6
pierre,6
across,6
institutionalization,6
certain,6
sociologists,6
established,6
powerful,6
could,6
further,6
mazarin,6
change,6
contrast,6
always,6
practices,6
us,6
management,6
idea,6
scholars,6
contemporary,6
great,6
forms,6
where,6
establish,6
original,6
understanding,6
made,6
theoretical,6
become,6
today,6
legitimacy,6
often,6
arts,6
considered,6
academicians,6
far,6
suggests,6
emphasis,6
singers,6
product,6
recent,6
built,6
hypothesis,6
contexts,5
being,5
said,5
taken,5
reproduction,5
primary,5
possible,5
regarding,5
relations,5
codification,5
understood,5
influence,5
rates,5
à,5
means,5
argued,5
beyond,5
drawing,5
