WORDCOUNTS,WEIGHT
the,900
of,611
and,426
to,360
in,331
a,265
that,179
by,164
for,139
is,133
on,124
are,118
firms,104
as,101
were,98
be,82
with,77
was,73
this,71
parachutes,68
practices,67
directors,65
or,63
social,63
s,61
adoption,60
not,60
from,60
firm,58
governance,57
spread,57
we,57
have,57
other,55
their,54
more,52
corporate,50
diffusion,50
it,49
an,49
at,48
pills,47
they,46
network,46
networks,45
american,42
one,41
takeover,40
influence,39
which,39
than,38
model,38
ownership,37
how,36
but,36
these,36
corporations,36
boards,36
board,35
what,35
those,33
golden,33
effect,33
sociology,33
journal,32
changes,32
through,32
pill,31
prior,31
elite,31
if,30
large,30
poison,30
takeovers,30
managers,29
shareholders,28
same,28
organizations,28
effects,28
among,28
had,27
adopted,27
e,26
interlocks,26
influential,26
p,26
results,26
likely,26
market,25
will,25
would,25
who,25
when,25
no,24
variables,24
so,24
thus,23
most,23
because,23
structure,23
while,23
g,22
individual,22
data,22
structures,22
models,22
similar,21
its,21
adoptions,21
organizational,21
adopt,20
parachute,20
process,20
practice,20
decision,20
all,19
executives,19
may,19
actors,19
new,19
adopters,19
them,19
susceptibility,18
interlock,18
can,18
legitimacy,18
measure,18
centrality,18
first,17
propensity,17
some,17
legal,17
two,17
also,17
local,17
hostile,16
value,16
only,16
business,16
proximity,16
particularly,16
institutional,16
legitimate,15
davis,15
system,15
shared,15
central,15
such,15
contagion,15
time,15
outside,15
less,15
see,15
infectiousness,15
been,15
innovations,15
strang,14
direct,14
university,14
makers,14
exp,14
do,14
control,14
size,14
studies,13
could,13
burt,13
there,13
organization,13
found,13
well,13
status,13
change,13
tuma,13
industry,13
science,13
significant,13
ties,13
vector,13
over,13
both,13
press,13
evidence,13
actions,13
concentrated,12
has,12
review,12
based,12
et,12
quarterly,12
appropriate,12
economic,12
al,12
made,12
administrative,12
environment,12
each,12
then,12
whether,12
accounts,12
focal,12
similarity,12
little,12
rate,11
measures,11
rather,11
standard,11
contrast,11
action,11
largest,11
others,11
shows,11
inside,11
table,11
variable,11
number,11
extent,11
role,11
using,11
our,11
between,11
should,11
second,10
state,10
u,10
adopting,10
against,10
response,10
york,10
sociological,10
own,10
characteristics,10
highly,10
innovation,10
structural,10
about,10
members,10
john,10
distance,10
years,10
previous,10
analysis,10
susceptible,10
typically,10
area,10
potential,10
early,10
contact,9
either,9
taken,9
words,9
wave,9
normative,9
within,9
account,9
shareholder,9
rights,9
without,9
m,9
important,9
work,9
part,9
look,9
used,9
collective,9
t,9
quite,9
several,9
research,9
pp,9
adopter,9
discussion,9
employees,9
greve,9
institutions,9
fields,9
log,9
different,9
ratio,9
embeddedness,9
scott,9
difference,9
c,9
done,8
i,8
influences,8
case,8
interest,8
industries,8
performance,8
w,8
r,8
during,8
dimaggio,8
proxy,8
management,8
law,8
relevant,8
raiders,8
contacts,8
problems,8
alters,8
particular,8
provide,8
considered,8
any,8
edelman,8
did,8
type,8
interlocked,8
terms,8
form,8
level,8
finding,8
although,8
cognitive,8
substantial,8
much,8
rogers,7
into,7
being,7
political,7
fortune,7
bases,7
sample,7
due,7
relatively,7
meyer,7
director,7
instance,7
included,7
useem,7
directly,7
sic,7
prevalence,7
owned,7
up,7
podolny,7
make,7
decisions,7
available,7
faster,7
where,7
norms,7
perhaps,7
ceo,7
processes,7
regimes,7
share,7
geographic,7
shares,7
best,7
ones,7
information,7
code,7
given,7
question,7
marsden,6
estimated,6
great,6
price,6
times,6
lose,6
slowly,6
late,6
embedded,6
cultural,6
stock,6
otherwise,6
aggregate,6
f,6
corporation,6
poor,6
edited,6
yet,6
palmer,6
many,6
headquarters,6
fact,6
forms,6
actor,6
largely,6
three,6
period,6
capitalism,6
things,6
sec,6
why,6
construction,6
types,6
fligstein,6
simply,6
readily,6
theory,6
adaptation,6
giving,6
buy,6
target,6
sat,6
states,6
off,6
comparison,6
coefficient,6
recent,6
difficult,5
gerald,5
created,5
determine,5
ceos,5
