WORDCOUNTS,WEIGHT
the,1209
of,741
and,444
in,440
to,395
a,292
that,227
is,164
state,154
as,138
for,125
french,113
this,111
was,106
france,105
not,102
on,100
policy,94
by,86
with,84
it,83
from,78
are,77
but,74
tax,72
be,68
which,67
at,65
taxes,65
political,64
than,62
has,61
social,60
s,58
an,57
more,57
were,57
have,55
been,54
or,52
because,51
had,48
united,48
these,47
welfare,46
policies,46
economic,46
states,46
innovation,45
period,45
p,42
they,41
other,40
neoliberalism,40
their,39
see,39
neoliberal,38
one,37
when,37
did,37
giscard,36
would,34
postwar,32
much,31
rather,30
american,29
all,29
there,29
those,29
income,29
economy,29
costs,28
most,28
industry,28
also,27
so,27
firms,27
industrial,26
make,25
can,25
who,25
innovations,25
market,24
such,24
new,24
do,24
capital,24
making,24
both,24
into,23
its,23
nationalized,22
change,22
culture,22
party,22
structure,22
what,22
i,21
industries,21
own,21
spending,21
countries,21
if,20
only,20
although,20
germany,19
even,19
reagan,19
public,19
will,19
intervention,19
less,19
made,19
through,19
national,19
he,18
government,18
very,18
politicians,18
path,18
cultural,18
cuts,18
world,18
way,17
case,17
particular,17
minister,17
high,17
them,17
among,17
large,16
first,16
parties,16
thus,16
higher,16
his,16
growth,16
example,16
power,16
toward,16
we,16
nationalization,16
between,16
system,15
out,15
several,15
general,15
mentioned,15
over,15
prime,14
some,14
labor,14
health,14
interest,14
fig,14
changes,14
work,14
during,14
second,14
business,14
sector,14
many,14
privatization,14
like,14
particularly,14
thatcher,14
total,13
source,13
right,13
how,13
well,13
actors,13
structures,13
revenue,13
mitterrand,13
free,13
years,13
ideas,13
control,13
popular,13
politics,12
no,12
means,12
important,12
president,12
up,12
majority,12
under,12
reform,12
where,12
class,12
oecd,12
agenda,12
why,12
administration,12
question,12
recent,12
e,11
deregulation,11
attempt,11
kingdom,11
issue,11
pay,11
left,11
may,11
process,11
could,11
unemployment,11
role,11
issues,11
led,11
about,11
competition,11
dissertations,11
gaullists,11
number,11
classes,11
three,11
workers,11
seen,11
table,11
barre,11
usepackage,11
d,11
specific,11
difficult,10
nature,10
dependence,10
since,10
de,10
g,10
competitive,10
main,10
benefits,10
greater,10
late,10
security,10
two,10
time,10
private,10
levy,10
payroll,10
you,10
britain,10
country,10
whether,10
argument,10
evidence,10
decentralized,9
rate,9
lower,9
sources,9
respondents,9
cases,9
unskilled,9
after,9
similar,9
cost,9
companies,9
few,9
regressive,9
technology,9
same,9
end,9
gdp,9
evaluated,9
employment,9
often,9
while,9
middle,9
june,9
later,8
history,8
chirac,8
firm,8
reasons,8
taxation,8
centralized,8
moment,8
price,8
kind,8
progressive,8
individual,8
moreover,8
privatizations,8
weak,8
used,8
increasingly,8
insurance,8
sales,8
enterprises,8
regulation,8
never,8
innovative,8
degree,8
lost,8
office,8
article,8
european,8
any,8
politician,8
explanations,8
distribution,8
property,8
information,8
size,8
consumption,8
given,8
should,8
technocracy,7
groups,7
socialists,7
give,7
leading,7
great,7
within,7
british,7
point,7
egalitarianism,7
throughout,7
against,7
forced,7
ways,7
across,7
levels,7
certain,7
direct,7
reforms,7
support,7
imitation,7
cut,7
based,7
found,7
international,7
planning,7
brought,7
explains,7
prasad,7
least,7
contrast,7
gaulle,7
research,7
productivity,7
attempts,7
above,7
decisions,7
direction,7
people,7
smith,7
larger,7
pattern,7
manner,7
necessary,7
remained,7
chosen,7
theses,7
points,7
features,7
become,7
plans,7
increasing,7
gaullist,7
hancké,7
set,7
different,7
pragmatic,7
argue,7
far,7
historical,7
u,7
turned,7
theory,7
level,7
press,7
come,7
crisis,7
themselves,7
strong,7
does,6
generated,6
measures,6
elections,6
per,6
said,6
production,6
taken,6
rapid,6
tradition,6
take,6
tenets,6
key,6
economics,6
goal,6
development,6
group,6
turn,6
elements,6
response,6
influence,6
jean,6
raymond,6
too,6
came,6
lead,6
academic,6
unions,6
produced,6
cannot,6
shape,6
failure,6
received,6
already,6
below,6
socialist,6
schmidt,6
reduce,6
still,6
movement,6
once,6
fifth,6
organizations,6
fact,6
idea,6
enough,6
took,6
model,6
investment,6
including,6
previous,6
study,6
things,6
program,6
economists,6
coordination,6
sciences,6
writes,6
became,6
moderate,6
position,6
punitive,6
early,6
oriented,5
implemented,5
kinds,5
favor,5
halt,5
unlike,5
before,5
common,5
long,5
interests,5
advantage,5
redistributive,5
able,5
precisely,5
backlash,5
hall,5
constrained,5
expertise,5
reverse,5
explained,5
evident,5
veto,5
third,5
traditions,5
implementation,5
developed,5
revenues,5
combined,5
show,5
care,5
result,5
antipoverty,5
radical,5
worker,5
war,5
indirect,5
population,5
however,5
explain,5
ena,5
minority,5
école,5
sense,5
successful,5
working,5
responsibility,5
suggest,5
quite,5
managed,5
visible,5
notes,5
moved,5
appeal,5
therefore,5
indeed,5
service,5
targeted,5
resilient,5
percentage,5
us,5
favorable,5
largest,5
others,5
addition,5
financial,5
discussed,5
jobs,5
increase,5
finland,5
budget,5
decentralization,5
full,5
theoretical,5
trade,5
paths,5
effect,5
capitalism,5
attention,5
la,5
decision,5
contribution,5
responsible,5
sweden,5
here,5
alternative,5
sociales,5
finance,5
down,5
loyalty,5
kesler,5
agricultural,5
passed,5
little,5
republic,5
intended,5
measure,5
arguments,5
coming,5
dominant,5
off,5
enterprise,5
resist,5
done,4
statist,4
created,4
toolkit,4
norway,4
extreme,4
just,4
globalization,4
likely,4
denmark,4
lindert,4
my,4
being,4
every,4
evolution,4
might,4
capitalist,4
wave,4
expense,4
portugal,4
generates,4
prior,4
election,4
framework,4
spectrum,4
cotisations,4
domain,4
mixed,4
conducted,4
expected,4
learning,4
candidates,4
back,4
external,4
find,4
section,4
incentives,4
cameron,4
privatized,4
mean,4
active,4
fourcade,4
estaing,4
