WORDCOUNTS,WEIGHT
the,1040
and,514
of,511
to,423
in,371
welfare,326
a,281
that,229
racial,207
for,165
racialized,165
policy,156
state,131
as,130
on,127
reform,126
political,119
these,103
alabama,95
s,94
by,88
flag,86
georgia,81
conflicts,79
this,79
with,75
conflict,74
i,72
they,70
black,69
from,65
their,62
not,62
are,62
miller,61
reforms,61
punitive,58
or,54
were,54
is,53
was,52
it,51
states,51
policies,49
also,49
tort,49
public,48
debates,48
attitudes,48
more,47
theory,46
have,46
effects,46
about,44
white,43
cultural,42
but,42
when,42
divisions,41
while,40
threat,39
social,39
both,38
race,38
his,35
an,35
time,33
structure,33
news,33
had,32
outcomes,32
at,31
such,31
data,31
work,31
be,31
one,30
other,30
governor,30
support,29
because,29
analysis,29
each,29
resentment,29
controversy,28
groups,27
may,27
its,27
during,27
theories,27
than,26
which,26
blacks,26
most,25
only,25
would,25
over,25
politics,25
attitudinal,24
opportunity,24
research,24
into,23
used,23
change,23
opinion,22
however,22
voter,22
relationship,21
if,20
likely,20
how,20
recipients,20
bill,20
who,20
making,20
discursive,20
we,19
residents,19
efforts,19
activated,19
id,19
categories,19
spillover,18
politicians,18
two,18
stereotypes,18
between,18
did,17
case,17
advocates,17
has,17
et,17
arise,17
economic,17
al,17
salience,17
racially,17
first,16
lawmakers,16
issue,16
media,16
voters,16
alabamians,16
contemporary,16
advocacy,16
effect,16
can,16
lenient,16
legislative,15
issues,15
constituents,15
antipoverty,15
no,15
animus,15
so,15
leaders,15
content,15
programs,15
group,14
development,14
future,14
will,14
he,14
letters,14
see,14
use,14
allowed,14
history,13
context,13
key,13
rights,13
process,13
explain,13
civil,13
t,13
same,13
express,13
demographics,13
passage,13
soss,13
years,13
although,13
among,13
federal,12
studies,12
assess,12
there,12
even,12
study,12
affect,12
benefits,12
my,12
events,12
requirements,12
makers,12
forces,12
suggest,12
discourse,12
approach,12
polls,12
claims,12
elites,12
measure,12
limits,11
american,11
government,11
campaign,11
against,11
similar,11
show,11
poverty,11
poll,11
politically,11
limited,11
organizations,11
many,11
scholars,11
legislature,11
archival,11
despite,11
institutional,11
you,11
identify,10
different,10
said,10
some,10
relations,10
legislators,10
important,10
participation,10
influence,10
results,10
new,10
agenda,10
another,10
constituent,10
domains,10
historical,10
arguments,10
national,10
early,10
given,9
created,9
measures,9
sources,9
electoral,9
poor,9
rather,9
just,9
out,9
population,9
required,9
officials,9
up,9
using,9
decisions,9
salient,9
reports,9
limit,9
do,9
existing,9
like,9
racialization,9
me,9
provide,9
citizens,9
education,9
must,9
demonstrate,9
country,9
particularly,9
job,9
them,9
don,9
through,9
families,9
formation,9
opinions,9
carns,9
major,9
final,8
rate,8
adopt,8
all,8
system,8
u,8
thus,8
since,8
conducted,8
adopted,8
approval,8
response,8
birmingham,8
ratings,8
expressed,8
conservative,8
people,8
survey,8
following,8
highly,8
second,8
absence,8
prevailing,8
make,8
narratives,8
stories,8
present,8
where,8
discourses,8
three,8
after,8
soule,8
antiwelfare,8
been,8
activate,8
lines,8
elected,8
extent,8
little,8
our,8
typically,8
pass,8
debate,8
focus,8
does,7
faced,7
approaches,7
coalition,7
committee,7
before,7
glbc,7
those,7
sought,7
prior,7
election,7
whites,7
interviews,7
leadership,7
century,7
across,7
argued,7
democratic,7
fig,7
demands,7
fox,7
received,7
actors,7
few,7
multiracial,7
awards,7
threatened,7
sanctions,7
demand,7
mendelberg,7
lack,7
children,7
jobs,7
reese,7
moral,7
individual,7
creating,7
sense,7
examine,7
claimed,7
indicate,7
interview,7
any,7
university,7
restrictive,7
benefit,7
resentments,7
whether,7
accounts,7
lottery,7
became,7
need,7
inequalities,7
much,7
strong,7
broader,7
child,6
generous,6
adoption,6
per,6
passing,6
large,6
significant,6
materials,6
wrote,6
afdc,6
dynamics,6
interest,6
orrock,6
cazanave,6
higher,6
act,6
levels,6
references,6
tensions,6
proved,6
powerful,6
position,6
votes,6
shifted,6
view,6
result,6
neubeck,6
late,6
lawyers,6
opposition,6
james,6
well,6
trial,6
strict,6
vote,6
example,6
collective,6
legislation,6
employed,6
below,6
majority,6
provided,6
appeal,6
battle,6
employ,6
movement,6
positive,6
reference,6
opportunities,6
toward,6
preferences,6
relevant,6
explicitly,6
supportive,6
held,6
article,6
become,6
justice,6
limiting,6
ethic,6
force,6
get,6
hancock,6
sections,6
offers,6
protections,6
terms,6
suggests,6
researchers,6
resentful,6
role,6
demanding,6
integration,6
comparison,6
surveys,6
should,6
empirical,6
budget,5
atlanta,5
undermine,5
interests,5
emerged,5
nature,5
available,5
stringent,5
indeed,5
respondents,5
subsequent,5
advantages,5
rolls,5
task,5
design,5
along,5
historically,5
zylan,5
domain,5
democrat,5
framings,5
cases,5
mechanisms,5
gilens,5
identification,5
organizing,5
mediate,5
paragraphs,5
ensure,5
additional,5
yes,5
strategy,5
decades,5
opponents,5
histories,5
initial,5
term,5
jim,5
relief,5
reporters,5
structures,5
trends,5
interracial,5
p,5
prevalence,5
contrast,5
around,5
small,5
codes,5
boundaries,5
republican,5
business,5
advocate,5
action,5
community,5
southern,5
us,5
assistance,5
rise,5
party,5
oral,5
bobo,5
assert,5
power,5
pressure,5
proposal,5
never,5
hand,5
less,5
necessary,5
session,5
discrimination,5
including,5
elections,5
assume,5
net,5
story,5
finally,5
clear,5
language,5
damage,5
safety,5
high,5
collected,5
problems,5
manza,5
confederate,5
series,5
dimension,5
commission,5
coverage,5
grievances,5
turned,5
what,5
want,5
passed,5
pursued,5
multiple,5
discussion,5
question,5
approximately,5
cognitive,5
archives,4
now,4
way,4
georgians,4
jure,4
center,4
give,4
allies,4
occurred,4
being,4
long,4
every,4
preceding,4
attempts,4
might,4
asserts,4
analyses,4
governors,4
calculus,4
king,4
felt,4
primed,4
point,4
resources,4
cited,4
letter,4
prevented,4
labor,4
human,4
million,4
de,4
representative,4
sample,4
funds,4
sanders,4
capitol,4
rates,4
failed,4
predicted,4
stricter,4
main,4
activists,4
explicit,4
capture,4
examined,4
direct,4
zell,4
win,4
organization,4
specify,4
consequential,4
beyond,4
ethnoracial,4
care,4
suggested,4
advocated,4
allow,4
coalitions,4
equally,4
cannot,4
naacp,4
brooks,4
exert,4
having,4
part,4
calls,4
revealed,4
year,4
contentious,4
away,4
reflect,4
newspaper,4
won,4
causal,4
field,4
lee,4
involve,4
next,4
order,4
divisive,4
concerns,4
caucus,4
crime,4
activation,4
critical,4
led,4
lieberman,4
equality,4
framing,4
still,4
communications,4
yet,4
violence,4
perceived,4
demonstrates,4
useful,4
corporations,4
gain,4
stated,4
shows,4
diverse,4
dhr,4
pattern,4
patterns,4
racist,4
inert,4
threats,4
number,4
divided,4
arose,4
findings,4
processes,4
good,4
justify,4
special,4
methods,4
businesses,4
attention,4
brown,4
today,4
forrister,4
figure,4
minorities,4
program,4
table,4
face,4
pressures,4
earliest,4
driving,4
set,4
proponents,4
worth,4
proposed,4
reelection,4
minimal,4
ideal,4
conference,4
level,4
code,4
press,4
cash,4
exploit,4
evidenced,4
ultimately,4
argument,4
average,4
conditions,4
create,4
asked,4
go,3
done,3
struggle,3
mckinney,3
winant,3
e,3
pushed,3
rethink,3
asserted,3
bias,3
ti,3
trace,3
damages,3
unlike,3
arguing,3
source,3
women,3
rising,3
consistent,3
member,3
coding,3
either,3
barriers,3
evolution,3
taken,3
central,3
latent,3
individuals,3
leading,3
great,3
court,3
course,3
emphasized,3
stand,3
battles,3
successes,3
similarities,3
voting,3
generosity,3
gais,3
nearly,3
encouraging,3
possible,3
determined,3
lifetime,3
drive,3
alter,3
voicing,3
sznajderman,3
above,3
appease,3
controlled,3
schram,3
preoccupied,3
component,3
immediate,3
pursue,3
due,3
g,3
relatively,3
heightened,3
overly,3
thing,3
profound,3
holds,3
effective,3
weaver,3
journal,3
activism,3
focused,3
nonracial,3
polarization,3
remain,3
posits,3
players,3
heard,3
certain,3
consequences,3
thought,3
means,3
changes,3
perceptions,3
image,3
too,3
initiative,3
follow,3
oppression,3
dominant,3
dependency,3
racialize,3
testimonies,3
very,3
found,3
access,3
emerge,3
fuel,3
big,3
hispanic,3
furthermore,3
supporters,3
block,3
treat,3
meet,3
placed,3
your,3
schema,3
sanction,3
already,3
prompted,3
later,3
explains,3
excessive,3
feared,3
gave,3
lobbying,3
discussions,3
expansive,3
increasingly,3
challenging,3
relative,3
sampled,3
atlas,3
responses,3
presented,3
working,3
responsibility,3
homogenous,3
characteristics,3
presence,3
methodological,3
always,3
joel,3
structured,3
resonance,3
carried,3
populations,3
identified,3
giving,3
comparative,3
indicates,3
percentage,3
once,3
arrangements,3
smith,3
complementary,3
participants,3
culture,3
shifting,3
street,3
law,3
heritage,3
others,3
reporting,3
demographic,3
fact,3
head,3
documents,3
enact,3
end,3
external,3
behind,3
thousands,3
model,3
paired,3
attitude,3
day,3
remained,3
fight,3
local,3
analyzed,3
explanation,3
enduring,3
affects,3
engaged,3
previous,3
involves,3
low,3
meanings,3
talk,3
amounts,3
workers,3
reformers,3
features,3
paths,3
legacy,3
spent,3
accused,3
comparing,3
construct,3
systems,3
assessing,3
seeking,3
figures,3
saw,3
lazy,3
sociopolitical,3
widely,3
negotiations,3
independent,3
criminal,3
widespread,3
becomes,3
dimensions,3
wanting,3
frames,3
fall,3
types,3
quadagno,3
frame,3
floor,3
environment,3
then,3
protracted,3
ve,3
ll,3
supported,3
symbol,3
here,3
routinely,3
katznelson,3
message,3
believe,3
half,3
wall,3
current,3
altered,3
asserting,3
primary,3
placing,3
charged,3
cause,3
particular,3
quote,3
divide,3
