id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.1086/497350	10.1086/497350	The Intergovernmental Network of World Trade: IGO Connectedness, Governance, and Embeddedness	Paul Ingram, Jeffrey Robinson, Marc L. Busch	American Journal of Sociology	111	3	2005-11-01T00:00:00Z	pp. 824-858	The University of Chicago Press	fla		Membership in certain intergovernmental organizations (IGOs), such as the World Trade Organization, has long been argued to stimulate trade. Yet, evidence linking IGOs to trade is mixed. The authors argue that identifying the influence of IGOs requires attention not only to the institutions IGOs enact, but also to the network through which they enact them. This approach allows them to demonstrate that trade between two countries increases by an average of 58% with every doubling of the strength of IGO connection between the countries. They also contribute to debates regarding the mechanisms through which structural relationships influence economic behavior by showing that substantial trade benefits occur not only through economic IGOs, but also through IGOs that were formed for social and cultural purposes, and that connections through IGOs that are organizationally strong have more impact than those through minimalist IGOs.	
10.1086/671469	10.1086/671469	Contributors		American Journal of Sociology	118	6	2013-05-01T00:00:00Z	p. iv	The University of Chicago Press	fla			
10.1086/210090	10.1086/210090	Rawls, Durkheim, and Causality: A Critical Discussion	Warren Schmaus	American Journal of Sociology	104	3	1998-11-01T00:00:00Z	pp. 872-886	The University of Chicago Press	fla			
10.1086/210299	10.1086/210299	<i>Informal Politics: Street Vendors and the State in Mexico City</i> by John C. Cross	Lauren Benton	American Journal of Sociology	105	1	1999-07-01T00:00:00Z	pp. 290-291	The University of Chicago Press	fla			
10.1086/421357	10.1086/421357	From Class to Culture	Michael Hechter	American Journal of Sociology	110	2	2004-09-01T00:00:00Z	pp. 400-445	The University of Chicago Press	fla		This article contends that class politics has receded in advanced capitalist societies during the last century, while cultural politics has increased, and it focuses on social and political institutions, rather than on occupational structure, to explain the shift. Participation in solidary groups has consequences for the social bases of politics, and the political salience of such groups is affected by social institutions that are independent of occupational structure. The first such institution is direct rule. Whereas indirect rule tends to promote class politics, direct rule favors cultural politics. Rapid expansion of direct rule since the 1960s has muted class politics and increased cultural politics. This relationship is not deterministic, however; other institutions can mitigate the effects of direct rule on the social bases of politics.	
10.1086/344214	10.1086/344214	Sex Segregation, Labor Process Organization, and Gender Earnings Inequality	Don Tomaskovic‐Devey, Sheryl Skaggs	American Journal of Sociology	108	1	2002-07-01T00:00:00Z	pp. 102-128	The University of Chicago Press	fla		This article revisits Tam's finding that occupational sex composition does not influence wages. This problem is approached in two quite different ways. First, a potential conceptual and methodological weakness in all research that focuses on national occupational, rather than local job and organizational, processes is pointed out. Second, the implications of organizationally relevant social closure and gendered labor process theories for our understanding of wage determination models is developed. The gendered devaluation and specialized human capital theories, which are stressed by Tam and his critics, do not represent the entire story. We find that the sex composition effect on wages exists, but it is indirect and relatively weak, operating largely through lower access of typically female jobs to extensive training. There is no strong evidence for the existence of a more generic gendered labor process in these cross‐sectional data. The evidence for social closure processes in this article is limited to the gendered nature of access to on‐the‐job training.	
10.1086/491692	10.1086/491692	Contributors		American Journal of Sociology	111	1	2005-07-01T00:00:00Z	pp. i-ii	The University of Chicago Press	fla			
10.1086/339239	10.1086/339239	Erratum		American Journal of Sociology	107	2	2001-09-01T00:00:00Z	pp. iii-iv	The University of Chicago Press	fla			
10.1086/210300	10.1086/210300	<i>Territorial Ambitions and the Gardens of Versailles</i> by Chandra Mukerji	David A. Bell	American Journal of Sociology	105	1	1999-07-01T00:00:00Z	pp. 292-293	The University of Chicago Press	fla			
10.1086/654904	10.1086/654904	Book Reviewers for Volume 115		American Journal of Sociology	115	6	2010-05-01T00:00:00Z	pp. 1998-1999	The University of Chicago Press	fla			
10.1086/231213	10.1086/231213	Intergenerational Solidarity and the Structure of Adult Child–Parent Relationships in American Families	Merril Silverstein, Vern L. Bengtson	American Journal of Sociology	103	2	1997-09-01T00:00:00Z	pp. 429-60	The University of Chicago Press	fla		The authors investigate the structure of intergenerational cohesion by examining social‐psychological, structural, and transactional aspects of adult child‐parent relations. The authors use latent class analysis to develop a typology based on three underlying dimensions of intergenerational solidarity: affinity, opportunity structure, and function. The same five types are found for relations with both mothers and fathers: tight‐knit, sociable, intimate but distant, obligatory, and detached. Relationship types are also differentiated by sociodemographic characteristics; relations with fathers and divorced parents tended to have the weakest cohesion. The authors conclude that adult intergenerational relationships in American families are structurally diverse but generally possess the potential to serve their members' needs.	
10.1086/231132	10.1086/231132	Sociology without Social Structure: Neoinstituional Theory Meets Brave New World	Paul M. Hirsch	American Journal of Sociology	102	6	1997-05-01T00:00:00Z	pp. 1702-1723	The University of Chicago Press	fla		Institutions and Organizations: Theory and Research. By W. Richard Scott. Thousand Oaks, Calif.: Sage Publications, 1995. Pp. xvi+178. $39.95 (cloth); $18.95 (paper).	
